,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0679193570705678,0.00474408633055215,12.5844875246961,0.068532150906392,0.010301603616148,-12.5844842560793,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.86117045228542,3.64724702709753,-0.653644863871963,-0.248205313346262,-0.562412773920297,-2.6116564461843,0.695698387850823,-7.56752851925157,-2.94499876754259,-0.403090842574461,0.01278108929507,-3.63220453828113,0.768747120751039,3.21631221743789,1.97826955221227,-0.310775717023483,1.06958683068652,0.204163599303706,1.11402502080438,0.661307350390836,-0.5015212263239,0.0358262774149297,-0.000421466546707684,-1.33901137882893
1,1,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0669992672995801,0.00457193740582654,12.5840519554674,0.0676277634752329,0.0102720603586158,-12.5840486478009,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.87137567441056,3.63486524984631,-0.663983163566742,-0.215374729687016,-0.580191792623645,-2.60681140305875,0.678320701468304,-7.55388285794406,-2.84000201029356,-0.383895920239473,0.0119214297084466,-3.55731728560865,0.807406858204166,3.20621837667751,1.97228340663286,-0.398696759731682,1.1189592127083,0.196487108118436,1.14538581560237,0.633384404540461,-0.451757414450277,0.0416585864330764,-0.000477018916660147,-1.3050699416635
2,2,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0656094600323499,0.00435840144734123,12.583583207073,0.0662513309061456,0.0101800442585435,-12.5835798983009,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.88162235461723,3.6209204124107,-0.673811264163769,-0.18173173186596,-0.597870306896777,-2.60253314425105,0.660283274362059,-7.53974961253062,-2.73316290250011,-0.364310481609525,0.0110696756758409,-3.48077313789574,0.846977277119908,3.1953237213044,1.96730024785099,-0.489201376444168,1.16965498051735,0.188501560358208,1.17788066802018,0.605761632495411,-0.401790980672751,0.047748533733298,-0.000531657892195739,-1.27094841643141
3,3,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0644547380484184,0.00416618121798329,12.5831305778624,0.0651110155116311,0.0101187047454701,-12.5831272535842,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.89186082624012,3.60775499171029,-0.683882734976483,-0.148507356352968,-0.615618008887529,-2.59796602895483,0.642506366939754,-7.52582453671958,-2.62725553966307,-0.34492140868259,0.0102523994728708,-3.40505775591594,0.886089169166864,3.18482194924809,1.96181638253295,-0.57839892217293,1.21975054821014,0.180775967304694,1.20986959485408,0.57798592721855,-0.351943633505245,0.0537104044109138,-0.000581145569995984,-1.23691708679925
4,4,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.064239798260804,0.00405751340872065,12.5827437766686,0.0649149721175891,0.0101816195123718,-12.5827403674135,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.90203877316505,3.59771038177275,-0.694953748385538,-0.116932977624627,-0.633602169164789,-2.59225378875496,0.625917418382043,-7.51280594548067,-2.52505271961348,-0.326315483853769,0.00949295688681302,-3.33265677758501,0.92337458325708,3.17591226931604,1.95432832597726,-0.662398423629733,1.26731660887217,0.173862158824251,1.23971352176509,0.549604048236755,-0.302536535085281,0.0591582678390968,-0.000621823598551467,-1.20324618575164
5,5,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0656692688991464,0.00409436690909172,12.5824727698955,0.0663713432361313,0.0104626099058119,-12.5824691455154,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.91210146216394,3.5931269576473,-0.707782899360227,-0.0882404054775736,-0.65198791417148,-2.5845397175326,0.61145051875357,-7.50139464930421,-2.42932605910962,-0.309079417579136,0.00881170062378936,-3.26605581667936,0.957466482609225,3.16979863374435,1.94333277083324,-0.737308852505792,1.31041860111865,0.168296782297997,1.26577422084872,0.520162675462007,-0.253890176251444,0.06370598332408,-0.000650586463583974,-1.17020590577845
6,6,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0694778870191039,0.00434235136412232,12.5823636649602,0.0702183089853389,0.0110584898603116,-12.5823596209625,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.9222325721096,3.59607832614986,-0.722951442613482,-0.0627506424839536,-0.67158371142423,-2.57413290542431,0.599383260614128,-7.49150153178059,-2.34055522385645,-0.293380775130507,0.00820990706860263,-3.20587324067061,0.988284153249964,3.16697172130879,1.92733596477955,-0.802151537865917,1.3481407614637,0.163581052178633,1.28782503504601,0.48889978859519,-0.205945968949719,0.0670858803113123,-0.000665625197480756,-1.1375005105205
7,7,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0751958544295729,0.00476015222656941,12.5823832352538,0.0759837285413576,0.0119067038674002,-12.5823785783599,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.93246275076309,3.60500175343452,-0.739959629289192,-0.0396446917707869,-0.692275069625529,-2.5616035673534,0.589105599418419,-7.48266462184266,-2.2568902286818,-0.278828274445605,0.00766770368403261,-3.15045190934051,1.01673976618274,3.1666392641242,1.90733989185057,-0.85952113574203,1.38176286382022,0.159326100507852,1.30696163424336,0.456117270958266,-0.15848904882681,0.0695548952725984,-0.00067032106269721,-1.10494980649531
8,8,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0817210147659495,0.0052494470236822,12.5824624349222,0.0825602603750096,0.0128619254380664,-12.5824570445253,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.94250837530628,3.61678323342635,-0.757943958941441,-0.0184433095607855,-0.712842471449209,-2.54798741585896,0.580223976577675,-7.4750264821346,-2.17760767814433,-0.265170209542571,0.00717264966686309,-3.09886420071374,1.04295599416407,3.168079431977,1.88558566995587,-0.910886580626095,1.41263998666037,0.156232316096946,1.32352694188377,0.422957975822466,-0.111604073776957,0.071513758425636,-0.000669388173297949,-1.07299729887971
9,9,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0879511680720154,0.00571159851798348,12.5825325472635,0.0888405847156799,0.0137791149210217,-12.5825263996236,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.95208842633214,3.62830983138955,-0.776038222363894,0.00133493680540241,-0.732067545843614,-2.53432094608338,0.572344203362253,-7.46872874845406,-2.10198441182089,-0.252154745088692,0.0067134057066294,-3.05018254445821,1.06705628212003,3.17056594756615,1.86431532044778,-0.957716463767816,1.44212718573097,0.155008414955858,1.33786010941314,0.390565189035147,-0.065374869721052,0.0733633533866929,-0.000667088969167887,-1.04208650039141
