,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90.0,-90.0,-90.0,90.0,0.0,0.0,0,0,-6.31676242321572,0.165650297329938,0,3.21314996292462,0.164644599976561,-0.0182257405439962,-3.10363864696555
1,1,0,0,0,90.0,-90.0,-90.0,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,0.179896145392736,0,3.17478043182056,0.178803957996565,-0.0197931554766001,-3.14201287584667
2,2,0,0,0,90.0,0.0,0.0,90.0,-1.26586381389443,-1.26586381389443,0,0,-6.31676242321572,0.194460123029143,0,3.13393346366488,0.193279514009006,-0.0213955754623604,-3.18286504711639
3,3,0,0,0,90.0,90.0,90.0,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,0.208861307403112,0,3.09432416001308,0.207593264969817,-0.0229800865993661,-3.22247989381252
4,4,0,0,0,90.0,-2.53049303995912,-2.53049303995912,90.0,174.948847471982,174.948847471982,0,0,-6.31676242321572,0.2226194319484,0,3.05966772730632,0.221267860140744,-0.0244938468252051,-3.257141991783
5,5,0,0,0,90.0,4.21262540413503,4.21262540413503,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,0.235254799874017,0,3.03367946740226,0.233826515121726,-0.0258840763659225,-3.2831357728964
6,6,0,0,0,90.0,-90.0,-90.0,90.0,14.8510624688579,14.8510624688579,0,0,-6.31676242321572,0.246318485875321,0,3.01724269972146,0.244823030197581,-0.0271013807568572,-3.29957762524929
7,7,0,0,0,90.0,-2.53049303995912,-2.53049303995912,90.0,0.0,0.0,0,0,-6.31676242321572,0.25613146976048,0,3.007880841668,0.2545764364492,-0.0281810757901596,-3.30894418868789
8,8,0,0,0,90.0,-3.79266029964088,-3.79266029964088,90.0,90.0,90.0,0,0,-6.31676242321572,0.265368897600542,0,3.00426923659555,0.263757780950349,-0.0291974455009512,-3.31256039110946
9,9,0,0,0,90.0,178.734136186106,178.734136186106,90.0,0.0,0.0,0,0,-6.31676242321572,0.27470568968259,0,3.00508304039214,0.27303788633749,-0.0302247495200141,-3.31175139962484
10,10,0,0,0,90.0,90.0,90.0,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,0.284816739072048,0,3.00899722011414,0.283087548165561,-0.0313372449358489,-3.30784261894423
