,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0316046897474978,-0.0171921490545828,12.6179353436463,0.034596988920821,0.00987292978970139,-12.6179276212083,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,-0.343182626918254,2.52810132372825,0.336791800026154,0.127338779566493,-0.583457988140281,-1.06710168383596,-0.0150196745908072,-1.40627744867668,1.35258850734903,0.493156311155688,0.00193178129641508,-0.448870523657311,-1.62089943372379,7.19191200562626,2.91191176170873,-0.318994453558084,1.07526512709888,0.575519348015107,0.951034765879048,0.0581649468554194,0.036222354435508,0.863058547524499,0.00467792409481789,-0.621087911090155
1,1,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0360449870680169,-0.0176709691393814,12.6181862649144,0.0390346846266355,0.00937003796931065,-12.6181775146506,0,0,0,90.0,-5.05115252801793,-5.05115252801793,0,90,0,0,0,0,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,-0.371676946792759,2.53316567048969,0.295816499141248,0.18247609838712,-0.601957417103277,-1.05109125720029,-0.0327244627273292,-1.39460750560978,1.36800617841722,0.498072198167657,0.0019567085809927,-0.450175051688427,-1.59804735294521,7.16382401333679,2.88410198323738,-0.369986978018355,1.13448501294286,0.607175068497068,0.970414759244836,0.0223364623053134,0.0445189686481161,0.857323957626706,0.00477137554886555,-0.637734120270347
2,2,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0405318860818158,-0.01814750327139,12.6184530303121,0.0435173550915672,0.00885468408860545,-12.618443248745,0,0,0,90.0,-1.26586381389443,-1.26586381389443,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-0.40151362520965,2.5375826593091,0.252557244194756,0.240015346496026,-0.622416761868093,-1.03357419202406,-0.0507857653218253,-1.38044381008734,1.38462660319659,0.502495540712708,0.00197981069743775,-0.45148048010408,-1.57431884670398,7.13286007447562,2.85336627883423,-0.42257235144635,1.19645768165066,0.638740881367998,0.990251806901915,-0.013391561990769,0.05282061653868,0.851672102632967,0.00486660005546426,-0.654778564776497
3,3,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0449959438879033,-0.018620676787887,12.6187122764754,0.0479769960068849,0.00834100530737476,-12.6187014726135,0,0,0,90.0,-5.05115252801793,-5.05115252801793,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,-0.430681963275303,2.54230956009904,0.210436861273147,0.296341788121992,-0.641940971253111,-1.01679377855711,-0.0686735765290848,-1.36753195513125,1.40063829365534,0.507165174136187,0.00200398435115528,-0.452785392998425,-1.55101884341076,7.10335223300698,2.82406528413027,-0.474293944860461,1.25712113137927,0.670416627891877,1.00985084348163,-0.0491757177073028,0.0610997254741497,0.845975854994331,0.00495841123001967,-0.671622831282764
4,4,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0493676605930668,-0.0190900673118489,12.6189406082907,0.0523456910313483,0.00784379626117221,-12.6189288009551,0,0,0,90.0,174.948847471982,174.948847471982,0,90,0,0,0,0,0,0,0,90.0,-2.53049303995912,-2.53049303995912,0,90,0,0,0,0,-0.457170599980296,2.54830614641066,0.172876814697244,0.347843684976065,-0.657624453854121,-1.00299457111723,-0.0858552680639984,-1.3596160539346,1.41423260915784,0.512819932924395,0.00203215956217269,-0.454088363821713,-1.5294536463817,7.07962971935691,2.80056696676217,-0.522704841017823,1.31240835717907,0.702387845071103,1.02851754904089,-0.0851720356847783,0.0693289505889987,0.840108376309431,0.00504166817566759,-0.687668527022283
5,5,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0535774802855711,-0.0195558690975859,12.6191146005204,0.0565556048803979,0.00737847360487891,-12.6191018155617,0,0,0,90.0,-5.05115252801793,-5.05115252801793,0,90,0,0,0,0,0,0,0,90.0,4.21262540413503,4.21262540413503,0,90,0,0,0,0,-0.478967530863645,2.55653437037244,0.143297583934968,0.39091181303903,-0.666552841560845,-0.99442238071771,-0.101796563800514,-1.3604390746744,1.42360386990492,0.520198650706849,0.00206729952299246,-0.455387957362471,-1.51093126791958,7.06601917064669,2.78724550933465,-0.565367620406175,1.35824751184463,0.734827852087485,1.04555836099888,-0.121536041114768,0.077481212090778,0.833943095384531,0.00511128680634992,-0.702317284678736
6,6,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.057595652831429,-0.0200183022756332,12.619223553159,0.060577754487424,0.00695177641804838,-12.6192098166294,0,0,0,90.0,14.8510624688579,14.8510624688579,0,90,0,0,0,0,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,-0.497160945579936,2.56780142729864,0.123626665918584,0.426149223718643,-0.666856508279938,-0.989521843039554,-0.115679479442986,-1.37235021701782,1.42898240334038,0.528548925718056,0.00210756064820604,-0.456922044434407,-1.4951632728173,7.06579693040109,2.78534574079994,-0.601606202331767,1.39190438886992,0.768043358333604,1.06072141131133,-0.159021555789081,0.0857184702925478,0.827109216577824,0.00516387880225477,-0.715405492026428
7,7,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,-0.0614684206536139,-0.0204785418274396,12.6192829904144,0.0644575253611647,0.00655474595814237,-12.6192683184218,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,-2.53049303995912,-2.53049303995912,0,90,0,0,0,0,-0.513090975989701,2.58147027312359,0.111581679582077,0.455965915378443,-0.660465232352052,-0.986797807781267,-0.127858704887126,-1.39285242826432,1.43157904002586,0.537378203417109,0.00215106583995081,-0.458691573811652,-1.48128332377241,7.07607352434526,2.79196415049832,-0.633069406196718,1.41608366777027,0.801893852549864,1.07447090017155,-0.197523944970967,0.0940588191798132,0.819691684946125,0.00520288653500212,-0.727332093677856
8,8,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0652401883956308,-0.0209384572112513,12.6193088560953,0.0682386607372571,0.00617949687675528,-12.6192932553852,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,0,0,0,90.0,-3.79266029964088,-3.79266029964088,0,90,0,0,0,0,-0.525123075201861,2.59633697015181,0.104269670406088,0.479464381328834,-0.650157849111263,-0.988587874251092,-0.139559993565412,-1.41841914748216,1.4310600600741,0.547815082806205,0.00220072336901715,-0.460339714364428,-1.46973255008453,7.09192559252218,2.80525161443632,-0.660806786889172,1.43486896525297,0.835883424501054,1.08718762472002,-0.235910834103883,0.102260589515561,0.812247614031552,0.00523368284479925,-0.738342637608744
9,9,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0689553797341286,-0.0213997095015021,12.6193171599445,0.0719648763712757,0.005817931470446,-12.6193006289532,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,178.734136186106,178.734136186106,0,90,0,0,0,0,-0.531622338160309,2.61119654462377,0.0987995794980726,0.495747516548118,-0.638712669494619,-0.997230539474682,-0.152009793829962,-1.44552423183585,1.42709114414001,0.560988157222008,0.00225937151033657,-0.461509626755987,-1.46094939648244,7.10842990255123,2.82335460462434,-0.685858212443529,1.4523446134772,0.869524292573348,1.09925186126433,-0.273049914318369,0.110083307017197,0.805334000876519,0.00526180425467219,-0.748682726103365
10,10,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0726584376638418,-0.0218637783218737,12.6193239745725,0.0756798667832442,0.00546176629231505,-12.6193065044025,0,0,0,90.0,-5.05115252801793,-5.05115252801793,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,-0.53095352068117,2.62484233723653,0.0922815685925908,0.503919150514098,-0.628909637275828,-1.01506526931815,-0.166434330383573,-1.47064202822355,1.41933733880771,0.578026016088136,0.00232968144203783,-0.461844469608984,-1.45536938503102,7.12066303379336,2.84441635688094,-0.709254161642467,1.47259565098271,0.902334555611498,1.11104334017458,-0.307808908941057,0.117287553800297,0.799507742551991,0.00529291759517757,-0.758598004026084
