,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-0.0895498512312556,0.0401591937843243,0.0164282751137073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.210017657938755,-0.13275234625803,0.0448933831780565,-0.0667136851287414,-0.0881389026660933,0.0532163908966314,0.00753089247628319,-0.0194644265687117,0.00209011398702508,0,0,0,-0.00489561923536063,-0.0674737032958068,0.0225380635913819,-0.0676867232448578,-0.00939431269480952,0.062013013111013,0.00208561484590017,0.0128421651974077,0.000185456793465377,0,0,0
1,1,-0.094626727342415,0.0402082601897462,0.0761998340957604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.172875661765651,-0.128358462792767,0.0921479362295674,-0.0916174767448021,-0.0635391590360235,0.0520454611661503,0.000856223788623257,-0.000312848806618363,-0.00891170549898312,0,0,0,-0.0108102796955107,-0.0760669763899845,-0.0183938082212158,-0.00144329204438064,-0.0401233976494256,0.0517210849500191,0.00108460108318165,0.0124644728329206,0.000227933390236856,0,0,0
2,2,-0.0761755351288344,0.0711535624589088,0.0782337739463035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142490671057724,-0.0861690520751204,0.0403270180465807,-0.00942306404530663,-0.0598270337743199,0.0245021585763485,-0.031513883579282,-0.012018535517732,-0.00509201345603039,0,0,0,0.0247683025504418,-0.112220452538183,-0.00048414450332146,-0.0402155244658399,-0.0766886223590491,0.0227108065572583,-0.00912592014229927,0.0076301685326683,0.0223922048496341,0,0,0
3,3,-0.0971769508585275,0.040927333448359,0.136218659975782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159249244950764,-0.0581451305183989,0.052093089463666,-0.0637396963684235,-0.0388138699202504,0.0402032752514483,0.00213609811999648,-0.0034393650953729,-0.0089295625666761,0,0,0,-0.00823652403858892,-0.0892110401974937,0.0132080312767826,-0.0209470851726693,-0.0486463392659757,0.065132229224762,0.00803640782875842,0.0173871302708322,-0.0218259681720898,0,0,0
4,4,-0.0450509923221432,0.0728752667551017,0.131483808196723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129107649982414,-0.0324131895432293,0.0900652685096208,-0.0351689850526221,-0.0367874280882868,0.0232947050755801,0.00209951914469059,-0.00480319125600297,-0.00893847818873184,0,0,0,-0.011747017602581,-0.111442406723114,0.00388046110237994,0.0214378757327123,-0.12729842720476,0.04095967229091,0.000785210759009225,-0.0116906261884102,-0.0038542343351935,0,0,0
5,5,-0.0537484689539835,0.0581715151899539,0.160554913748118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0810609358222355,-0.0165098105881053,0.0265312242888527,-0.0666608936601053,-0.064675130791302,0.0349174438686966,0.00218638191067742,0.00957037454212481,0.0216667712883893,0,0,0,-0.0302488943233516,-0.0820258532924303,-0.000425439902544511,-0.0256316065771157,-0.0910134788875903,0.0377892656563912,-0.0134227252747462,-0.00810436220701578,-0.0353853495575578,0,0,0
6,6,0.00267940881667004,0.00954791095351989,0.155685448825171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0546760083853903,0.0104185332405356,0.00484286236170561,-0.0442368574183179,-0.0432328375952704,0.0462150232820147,-0.0217181954004103,-0.0381531385955933,0.00585973269916806,0,0,0,-0.055862557148606,-0.0255679679209163,-0.0679509883644904,-0.00885013281801243,-0.0836543177565563,0.0665601187531362,0.00927753973700915,0.00775743937384429,0.0319593983425488,0,0,0
7,7,-0.0660308940375023,0.0288236039680508,0.159052518189938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0399110647109402,0.0428151239357997,0.00407914592759084,-0.0523527943336932,-0.0728621533608554,0.0640755573957037,0.012748014884665,0.0241838572660294,-0.00652461727267273,0,0,0,-0.115213584106509,-0.0263046865236458,0.01330857113485,-0.0368747572895186,-0.0403047894994272,0.0499598871645954,-0.00218867479156587,-0.0124050206868495,-0.00377072898471909,0,0,0
8,8,-0.0106507472269505,0.0391450525557174,0.164315854492633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0325447071170711,0.0217869318926516,0.0133295540820093,-0.0644258515273832,-0.062379574623563,0.01174565257441,0.0124285318523806,-0.0316481549964399,0.0020137500969426,0,0,0,-0.0877786939743925,0.0798756392040616,-0.0579291175312608,0.0503491310542812,-0.0441263062447197,0.0398909502635512,0.0029308384581643,0.0163270584820836,-0.021677545439335,0,0,0
9,9,-5.22285200741135e-05,0.0172966431734942,0.115019367734764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0699505995320857,0.0396292328315062,0.016537476785814,-0.126786194315626,-0.141326503179216,0.029908581326815,0.00322592905705526,-0.0510285417009215,0.0301934330681846,0,0,0,-0.0619261964696851,0.105030382418156,0.0059406346307096,0.0881515419541455,-0.00931507291431419,0.0689113887261623,-0.00448656810066658,-0.0129053501854964,-0.0037266691028055,0,0,0
