,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,4.55829342931392,70.2490818377167,-177.043050356502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.868599942835,-71.0961005083225,-104.809221922352,-138.196792974745,84.192911355426,-151.005471069656,-12.9246423953614,-44.7207326913038,157.118139278007,0,0,0,-138.159067645186,-77.3318498235118,7.56400189933435,-101.027509971631,-68.3278772850662,-81.5746293460278,-4.98578369564702,44.2290692511195,-3.69280045577919,0,0,0
1,1,4.57917675325769,70.2890669217435,-177.014676032025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.872586337109,-71.0870945976391,-104.800263247611,-138.222629335128,84.1886076274864,-151.040975001967,-12.9212281646837,-44.7211634817821,157.115519038583,0,0,0,-138.195948430752,-77.3354856990397,7.60151796926336,-101.042248059098,-68.3256950488008,-81.559571640605,-4.98237262911828,44.2295234895113,-3.68943238730071,0,0,0
2,2,4.60258110440781,70.3227897647447,-176.984078113971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.875194115609,-71.07693582141,-104.795090491621,-138.255590859584,84.1859942525454,-151.080363544992,-12.9228421102353,-44.7225563048667,157.11619819875,0,0,0,-138.247074481286,-77.3385555169677,7.64726419480208,-101.052039012014,-68.3223321709034,-81.5475366657183,-4.98162562484244,44.2286178046931,-3.69012623161566,0,0,0
3,3,4.62417205316307,70.3544148578403,-176.955722966015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.886115687031,-71.0707340549302,-104.781895923646,-138.302047566719,84.1841302544686,-151.128643151078,-12.9227399517747,-44.7242781879566,157.115790554492,0,0,0,-138.282688283809,-77.3424526518705,7.67073987129206,-101.062576507559,-68.321970611838,-81.5411800950356,-4.98020380005146,44.2283006904368,-3.68852759456774,0,0,0
4,4,4.63686820148697,70.3809857447505,-176.940595805589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.891083967026,-71.0645793749832,-104.770879754691,-138.356545054311,84.1850170265394,-151.179837346117,-12.924943581087,-44.7225476164478,157.116958474267,0,0,0,-138.325096831577,-77.3530354281118,7.69654043805575,-101.066831466823,-68.3176639758327,-81.5405332907997,-4.97841492761475,44.2267642104087,-3.6892907396465,0,0,0
5,5,4.65099048996926,70.3988360533314,-176.922669042606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.888797638896,-71.061913783027,-104.768735232439,-138.398089421931,84.1867488164804,-151.215804572807,-12.9269088665782,-44.7247155130098,157.11820535167,0,0,0,-138.359578329389,-77.3688387638543,7.70700056351099,-101.072083670399,-68.3153730118389,-81.5444637385429,-4.97567744272598,44.2266306588045,-3.68821442292754,0,0,0
6,6,4.66133748438402,70.4098055553701,-176.910003989845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.894736968921,-71.0636365802053,-104.754209505236,-138.427582987611,84.1903931752823,-151.235561558217,-12.9305903642678,-44.7265539494256,157.120538971283,0,0,0,-138.391526071142,-77.3886403734526,7.70610802526696,-101.071699458689,-68.3134263304135,-81.5579641440438,-4.97197281247153,44.2249383388018,-3.6853825712735,0,0,0
7,7,4.67455221344771,70.4143363057861,-176.893725081619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.903689124865,-71.0688937320469,-104.734905738532,-138.446886907268,84.196516576221,-151.237189825917,-12.9347425037349,-44.7272180833953,157.12340054987,0,0,0,-138.461200007221,-77.404177329238,7.73823140474985,-101.070890112964,-68.3136023638633,-81.5722049058656,-4.96826822692881,44.2232459943733,-3.68255086305484,0,0,0
8,8,4.68461387793655,70.41305505972,-176.880193238374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.918693720533,-71.0761940359526,-104.707481359833,-138.461023149768,84.2052153458462,-151.22124971858,-12.9426315492763,-44.7304166493171,157.127938803413,0,0,0,-138.515282705098,-77.424911066663,7.75089874196943,-101.066940741574,-68.3118055188187,-81.5892989304946,-4.96476331497909,44.2216668999446,-3.68109153587171,0,0,0
9,9,4.68313383920782,70.4074112094814,-176.879033120384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.944758124315,-71.086191522564,-104.668127284249,-138.452798049429,84.2183135060063,-151.170850634234,-12.9554805786392,-44.73410616924,157.136882855858,0,0,0,-138.584548095164,-77.4442256708383,7.77751682394108,-101.053883072816,-68.3122375979498,-81.613389296072,-4.9594505086265,44.2180109622912,-3.67931904695896,0,0,0
10,10,4.67960626273798,70.3941174227912,-176.877164167242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.970036748622,-71.1000161774029,-104.627776246341,-138.428602738203,84.2321987625877,-151.107882514402,-12.9743518160886,-44.7421812771116,157.14584821118,0,0,0,-138.645431200522,-77.467269366791,7.7964521422281,-101.054374382457,-68.3135912475318,-81.6296634722506,-4.95622056548287,44.2156172329405,-3.67740792236454,0,0,0
11,11,4.67375321122375,70.376223502583,-176.879731031603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.994001343028,-71.1227316855984,-104.588222297649,-138.393056944233,84.2479557877938,-151.044391058474,-13.0016662321529,-44.74766413189,157.162459699733,0,0,0,-138.698702379465,-77.4917320079145,7.81228262299043,-101.046134869157,-68.3164880589347,-81.6489374654747,-4.95498019544449,44.2124519622375,-3.67726720960499,0,0,0
12,12,4.65679526109624,70.3591922153075,-176.891955472168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-152.036695351206,-71.1508930955674,-104.529041515242,-138.357762585757,84.2673334742728,-150.991162540424,-13.0280470576403,-44.7554907884288,157.178024945388,0,0,0,-138.781864788324,-77.5132663453778,7.86458455817448,-101.036311250808,-68.3176030407028,-81.6719958621332,-4.94976119550016,44.2108295273406,-3.67358653542176,0,0,0
13,13,4.63906384809924,70.3382357645635,-176.903041529896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-152.084084355329,-71.1897784498612,-104.466170123256,-138.290190287501,84.2945659568556,-150.905608131831,-13.0554854943874,-44.7590133009255,157.194602393165,0,0,0,-138.849717087372,-77.5347244875673,7.90865378246792,-101.020861564243,-68.3206438827179,-81.699922385189,-4.94928709541405,44.2091102220677,-3.67382866275494,0,0,0
14,14,4.61494553223572,70.3180936941212,-176.92191301914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-152.153846627747,-71.233392754246,-104.387221326599,-138.164009281892,84.3292650651962,-150.754948459884,-13.0856633027968,-44.7669410023322,157.212922991732,0,0,0,-138.929336537545,-77.5571630448102,7.97158838670471,-100.999086605074,-68.3287165110913,-81.7345802774182,-4.95268595556539,44.2077682854953,-3.67433020465146,0,0,0
15,15,4.57998560543794,70.3000650210862,-176.949343170592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-152.246137709142,-71.2900933545037,-104.290512617971,-138.003057352632,84.366128019211,-150.542571429961,-13.1243867966469,-44.7756225803662,157.235625397629,0,0,0,-139.01430463855,-77.5797421039772,8.04621651264093,-100.984764085316,-68.3372431169065,-81.7548015984116,-4.95683341501624,44.2049104109387,-3.67529923322204,0,0,0
16,16,4.5288924371924,70.2820046169285,-176.994919856578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-152.349488192164,-71.3551298495408,-104.177840949915,-137.840396628903,84.4005001956423,-150.28783221165,-13.1737311149541,-44.7854920772867,157.264372060541,0,0,0,-139.136378764958,-77.6002090330209,8.15848648119094,-100.974063401083,-68.3457719082004,-81.7699857566787,-4.96202167920575,44.2026837261507,-3.67619854541675,0,0,0
17,17,4.4590716662154,70.2578851540694,-177.059763917487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-152.461397750337,-71.4203142560941,-104.047763736854,-137.709885688782,84.4323574512417,-150.039665977435,-13.2235878715067,-44.797060132848,157.291500945002,0,0,0,-139.271718891843,-77.6193549454809,8.28587167816672,-100.964853725249,-68.355930709723,-81.7828597710073,-4.96954972299994,44.1979426442351,-3.67659165223637,0,0,0
18,18,4.37016810823255,70.2294666960271,-177.149929316386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-152.589757953334,-71.4747232989615,-103.896208509746,-137.56886476182,84.4655407845751,-149.798021556982,-13.2716005775804,-44.8080013920999,157.319769078817,0,0,0,-139.37359801503,-77.645234458063,8.39157606700298,-100.972246486874,-68.3627371793624,-81.7789471437752,-4.9706654918764,44.1952255493095,-3.67585858956524,0,0,0
19,19,4.27039182961581,70.1967349599144,-177.256192737862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-152.716366944557,-71.5191514054386,-103.741133702011,-137.338516916934,84.499589658195,-149.520368934885,-13.3240586422701,-44.8163762914527,157.350162558908,0,0,0,-139.458670231286,-77.6660392556152,8.48798609660143,-100.985457943109,-68.3710966956928,-81.7578271950998,-4.97811499367745,44.1914130100181,-3.67807365571339,0,0,0
20,20,4.15802126211347,70.1642574515157,-177.378666730961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-152.834607848249,-71.5612616126999,-103.595470226895,-137.100794165798,84.5295960174744,-149.280421427033,-13.3703055768493,-44.8234186687222,157.375588168745,0,0,0,-139.556627590979,-77.6854643447105,8.60591655258582,-101.018682510363,-68.3770848981681,-81.7159423516491,-4.98082183049331,44.1876978905262,-3.67636665363881,0,0,0
21,21,4.0360026270922,70.1338518472184,-177.516251125269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-152.934629119685,-71.5966291175665,-103.479527165446,-136.789256152791,84.5518377725579,-148.993443964194,-13.4084462739067,-44.8309476057081,157.396115511893,0,0,0,-139.666203851096,-77.7067195142622,8.73327212566051,-101.043578902531,-68.3808972605762,-81.6810289422122,-4.98193663761431,44.1849810336616,-3.67563246399346,0,0,0
22,22,3.91853322141234,70.1090551627767,-177.656379104903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-153.022224306773,-71.6237523459072,-103.389092215574,-136.480417802948,84.5677152349339,-148.710340260185,-13.441191251817,-44.8367533970442,157.41276091753,0,0,0,-139.831333383057,-77.7188721419281,8.91200799117572,-101.07634245772,-68.385816966332,-81.649292551442,-4.98049565237139,44.1817031492614,-3.67411746582399,0,0,0
23,23,3.81380183777553,70.0884739809071,-177.789629252256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-153.07895914643,-71.6450053084888,-103.344542194112,-136.204875623539,84.5767482857562,-148.457479420502,-13.4662158313565,-44.8414068006169,157.426122459256,0,0,0,-140.017621180665,-77.7267931040765,9.101507183894,-101.103851270712,-68.3933234451643,-81.6400834057476,-4.98113739001643,44.179687866961,-3.67246422065795,0,0,0
24,24,3.72750453464733,70.0702805262438,-177.910802805357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-153.104669272133,-71.6648374718464,-103.352606626193,-135.933211776411,84.5793917165866,-148.223443223329,-13.4864870507113,-44.8454152201892,157.437851120669,0,0,0,-140.215705839543,-77.740332807799,9.2864574257748,-101.123402500599,-68.400914625177,-81.6508143999531,-4.98555586457827,44.1760160737009,-3.67297799819655,0,0,0
25,25,3.66730187480259,70.0520416688994,-178.012901854245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-153.112361200202,-71.6880606731522,-103.403637586687,-135.64237687131,84.576731280897,-148.00182587676,-13.5021482311991,-44.8497277437571,157.445741858566,0,0,0,-140.416390957952,-77.7626364097753,9.45942129699139,-101.142798471463,-68.4082060481307,-81.6644613412177,-4.99376770850061,44.1736502290488,-3.67557346712019,0,0,0
26,26,3.63325704286245,70.0350559539181,-178.095030946105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-153.088214681635,-71.7117848605141,-103.508568033772,-135.322146304616,84.5717372281792,-147.777571606855,-13.5170175233387,-44.8520209759044,157.453580969732,0,0,0,-140.653766132573,-77.7962649891275,9.65277798927391,-101.167380891902,-68.4187125880919,-81.6659924087194,-4.99812409228696,44.1738693194294,-3.67782366305832,0,0,0
