,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,0,0.00178684748217671,-0.575548323085093,0.0176824225260588,0.817574624669591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3262055102598,0.593451656487091,-0.53913803721869,0.500734733479564,0.672595063661598,0.0580241095912135,0.730988861873907,-0.0995206855909304,0.224243972534298,0.349855818323691,-0.177000713637031,0.892180640083094,0,0,0,0,0.316689086047176,-0.713025821967476,-0.270711719064814,-0.563930283942247,0.115255584367998,-0.716778119504556,0.146794144753762,-0.671860667651794,0.925603437068439,-0.0281565912771199,0.377206076444632,-0.0134558369487788,0,0,0,0
1,1,0.00170591817317851,-0.575837212623286,0.0176734574685173,0.817371545444628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326131089028268,0.593497187210325,-0.539153655272562,0.50071242999241,0.672554347930411,0.0580834458938767,0.731013606629582,-0.0995794623173051,0.224254050638782,0.349861870575114,-0.176982658703934,0.892179315388935,0,0,0,0,0.316638698880371,-0.71302003850017,-0.270771254105893,-0.563937307702269,0.115264769385073,-0.716811938214438,0.146799341633852,-0.671821874805915,0.925603185261622,-0.0281399425301797,0.377208513702697,-0.013439652456134,0,0,0,0
2,2,0.00161939033161752,-0.576081753554209,0.0176735110748703,0.817199386810311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326058914614582,0.593530718077038,-0.539188557223775,0.500682105390495,0.67252287987299,0.0581318598250066,0.731034604657277,-0.0996095864573516,0.224254018783518,0.349870811642086,-0.176994856565812,0.892173397367125,0,0,0,0,0.316541051912478,-0.713037085801924,-0.270810695927786,-0.563951632408622,0.115294254165247,-0.716836755154748,0.146801456070524,-0.671789873331881,0.925606248056308,-0.0281319894640557,0.377201289150812,-0.0134481296426358,0,0,0,0
3,3,0.00153903952400424,-0.576311000017995,0.0176725368953357,0.817037908579085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326019328565855,0.593571873352112,-0.53919863366445,0.500648241803686,0.672494532900985,0.05816051667119,0.731059282588438,-0.099603126758675,0.224257286500272,0.349884043153052,-0.176997414472846,0.892166879607362,0,0,0,0,0.316429086722077,-0.713059525179616,-0.270789607898938,-0.563996218853275,0.115267768889875,-0.716855451916572,0.14682561638045,-0.671769187211752,0.925607821297742,-0.0281258946619372,0.377198171361591,-0.0134400417926051,0,0,0,0
4,4,0.00150626277060776,-0.576502311856864,0.0176765239082033,0.816902904939553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325958722234513,0.593619646513818,-0.539193740515307,0.500636331942822,0.672482446740572,0.05817048732843,0.731076467651448,-0.0995527582544492,0.224254513658006,0.349867804502838,-0.177008886031278,0.892171668874518,0,0,0,0,0.316276212947686,-0.713060107053797,-0.270763399611555,-0.56409380627932,0.115270778925136,-0.716859989800835,0.146872122732696,-0.671753661778431,0.925613193464787,-0.0281095516894868,0.377185751941507,-0.0134527959940692,0,0,0,0
5,5,0.00145708682985302,-0.576631944633052,0.017679953541213,0.816811420445048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325920958823643,0.593640602782997,-0.539185836105397,0.500644581984307,0.672481555314538,0.0581623649634253,0.73108611092287,-0.0994926905821466,0.22425131796514,0.349883084465858,-0.177023034385544,0.892163672703888,0,0,0,0,0.316089327646298,-0.713047589591997,-0.270691509164639,-0.564248862463475,0.115228625466184,-0.716859929477107,0.146941122568223,-0.671745868525919,0.925614427688753,-0.0280910361612998,0.377184089089034,-0.013453173598888,0,0,0,0
6,6,0.00142354334845396,-0.576711836488464,0.0176856251216583,0.816754950913978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325898961431361,0.593689234480236,-0.539128004755714,0.500663514037478,0.672498863996799,0.058128394783149,0.731084458495717,-0.0994076565912977,0.224244824536149,0.349894071161078,-0.177046822112836,0.892156275780664,0,0,0,0,0.315856318632383,-0.713033827608137,-0.270569645888681,-0.564455147367939,0.115163566658302,-0.716841967055493,0.147034900201679,-0.671755673816927,0.925621199917492,-0.0280711136731338,0.377169306104142,-0.0134432649818604,0,0,0,0
7,7,0.00137595607310512,-0.576746430628375,0.0176960812467939,0.816730377916005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325893636855211,0.593745974493417,-0.539041084305189,0.500693284018502,0.672539990310643,0.0580474376288175,0.731071419138872,-0.0992725366653108,0.224235380913228,0.349895636635572,-0.177071223907656,0.892153192604237,0,0,0,0,0.315557673179057,-0.713068349178805,-0.270458413360608,-0.56463185434378,0.115084090620338,-0.716822899711842,0.147118192589724,-0.671771404529792,0.925627971148532,-0.0280511899772211,0.3771545236512,-0.0134333561610954,0,0,0,0
8,8,0.00132960292022345,-0.576739284200987,0.017700198975522,0.816735411973569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325896867753424,0.593820318841656,-0.538928413594592,0.500724300927884,0.67260746273634,0.0578939462895901,0.731050586393259,-0.09905822625342,0.224224895779247,0.349912590061195,-0.177122699219505,0.892138960504836,0,0,0,0,0.315252469636724,-0.713078377496858,-0.270313479063204,-0.564859036372034,0.115019364329047,-0.716796738991368,0.147212653293595,-0.671789710780795,0.925634161485032,-0.0280283158570558,0.377141014741854,-0.0134338230449959,0,0,0,0
9,9,0.00131146911715232,-0.576699317100936,0.0176860659834678,0.81676396882704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325922017473756,0.593914821032999,-0.538788888559421,0.500746000930693,0.672716857221925,0.0576676635522089,0.731006972619497,-0.0987688036353783,0.224195377432297,0.349930549152474,-0.177199931740984,0.892123997939092,0,0,0,0,0.314923777334259,-0.713104531632677,-0.270177380963661,-0.565074441335016,0.114957214493272,-0.716752739293034,0.14728421759817,-0.671831607471974,0.925647617641011,-0.0279927015039667,0.377110460201821,-0.013438654114244,0,0,0,0
