,Frame,CoM pos x,CoM pos y,CoM pos z,CoM vel x,CoM vel y,CoM vel z,CoM acc x,CoM acc y,CoM acc z
0,0,0.00617567869629343,0.100898822882947,0.944467776875801,0.197137087954319,-0.0679455375511594,-0.0713255445783269,0.272754580221632,0.0475909251712318,-1.27022760512841
1,1,0.00745782998050481,0.100621096428736,0.944674835589726,0.180784718336027,-0.0852888773729815,-0.0576385284244519,0.5708608731079,-0.114558231068595,-0.636663482752571
2,2,0.00842917673700028,0.100159380722631,0.944991884422676,0.153653055663503,-0.0992470121967158,-0.034988704461399,0.836490195185493,-0.158642946908787,0.0966755323090125
3,3,0.00930794886664695,0.0995766400347063,0.945320100650855,0.124075605312359,-0.107197000492583,-0.00798969314641875,1.24430883897224,-0.38548062946214,1.08907382444251
4,4,0.0103122053025218,0.0989335280812336,0.945559683284549,0.103743189238049,-0.112332209743502,0.0183056751771273,1.59031352600248,-0.493717172736434,1.98321585017573
5,5,0.0116598976841707,0.0982883214525413,0.94561005943542,0.10489958744088,-0.115902592838972,0.0390823268813518,1.60035332237963,-1.03006809377544,2.63686172323473
6,6,0.0132724269474882,0.0976209376686595,0.945392994004965,0.130147615905188,-0.114024838035804,0.0556377464273815,1.35310941751572,-1.51752247877588,2.77098593663438
7,7,0.0150036991543507,0.0968891267080893,0.944974620326597,0.172363774244888,-0.106767364025486,0.0711590920011221,1.11106072008261,-1.69201531632806,2.77600298803339
8,8,0.0169705025210026,0.0961174105755362,0.944469351090651,0.223719338897387,-0.101333189030704,0.0840155896177746,0.964901633431864,-1.45668146871376,2.12231130392039
9,9,0.0192899308723911,0.0953319902855116,0.943990375356942,0.272269132103669,-0.103308685803715,0.0927054603473391,1.02225458346375,-0.856908868309595,1.31183884299617
10,10,0.022079485462617,0.094560570813889,0.943650008530172,0.309839194886738,-0.108771139222135,0.0955710003503073,1.0498486241488,-0.723502383151337,0.806833463251385
11,11,0.025496885465691,0.093837835979814,0.943477169383815,0.337821420927299,-0.11421296791626,0.0910804633791591,1.28995702659324,-1.01078099294383,0.817414779515065
12,12,0.0294639342852589,0.0931452460736327,0.943394638804809,0.361498766195106,-0.119583239107606,0.0805343095264816,1.36567492251047,-1.30653851792064,0.613194985421255
13,13,0.0337445953927875,0.0924316788714317,0.943355884309832,0.382384490871507,-0.125684104040616,0.0662469378156023,1.10080270378621,-1.37287508991478,0.133950626824928
14,14,0.0381028169787414,0.0916465147046809,0.943315059057395,0.401519622657121,-0.130886955388578,0.0503400174279319,0.602322689367416,-1.33264808613412,-0.509363734220724
15,15,0.0423025859455913,0.0907398543476816,0.943226707854957,0.416047904496346,-0.135016739033488,0.0350459165381234,0.39580667226228,-1.22247144296294,-0.949598622992316
16,16,0.0463671029319546,0.0897410937373613,0.943100344968808,0.423459355475009,-0.139617148790954,0.0189797459411323,0.394199660426321,-1.09528119015203,-1.20049798571792
17,17,0.0504539878644093,0.088684109188266,0.942967632248084,0.422885348531319,-0.146653502542987,0.000815650824636569,0.547078158579121,-0.997462188230417,-1.31262508910549
18,18,0.0545289078705652,0.0875265458823161,0.942816479993516,0.417852771638958,-0.156188911104257,-0.0176875427357515,0.659603906400722,-1.04189402157336,-1.44056912668644
19,19,0.0585575340602574,0.086226325787768,0.942634588033652,0.411343025887078,-0.166881028636179,-0.0348130916707007,0.703995123520018,-1.02683922070826,-1.381420402275
20,20,0.0625056075897386,0.0847415743426785,0.942409258974446,0.406457491204722,-0.180007241839413,-0.0488611329080218,0.836492738352289,-1.0728912673211,-1.32692621500801
21,21,0.066371459949279,0.0830290283810141,0.942133874790848,0.40284067253067,-0.196491324312886,-0.0595345269745075,1.04069860599065,-1.11246935992606,-1.23632608135894
22,22,0.0701785934933596,0.0811185496121185,0.941818477300071,0.39914053039315,-0.215720543237295,-0.0682622219509664,1.05446354967621,-1.16530343965821,-1.20685203850667
23,23,0.0739303853209622,0.0790775061760043,0.941474389691594,0.395303401932313,-0.234150091738816,-0.0753743303315265,1.14927363888632,-1.24688452264887,-1.19380193285315
24,24,0.0776298427329893,0.0769724194070812,0.941112100231863,0.391585944350955,-0.248976783113838,-0.0812240216226202,1.24505579270624,-1.27391811586881,-1.10315593717354
25,25,0.0812795913352662,0.0748689307683949,0.940741271811155,0.388922519942829,-0.257510328139973,-0.0862867305583738,1.31714491004594,-1.20404913424999,-1.09250961973722
26,26,0.0848073926162828,0.0727581934414393,0.940360903754119,0.387193860713038,-0.258492207548279,-0.0904313498865782,1.39028361632593,-1.21061224766691,-0.976166356040709
27,27,0.0882114520200699,0.0705964497170181,0.939963892071111,0.385607893310954,-0.253960999193883,-0.0934749246096838,1.45499380904803,-1.00447251428942,-0.748062522476982
28,28,0.0915996054345612,0.0683960409682654,0.939550024720481,0.386318282001983,-0.246561766360576,-0.0955944536178469,1.46382362999632,-0.842689297520915,-0.650146159869976
29,29,0.0950794749859334,0.0661689352017013,0.939119002627024,0.389360976441992,-0.239569207485285,-0.096877175197992,1.35064495537317,-0.787122487412244,-0.575747587068021
30,30,0.0987585222764169,0.0639267526318649,0.938670512636141,0.395324593666609,-0.234183503570651,-0.0974229275764937,1.35739819600432,-0.781156155147765,-0.412830859014538
31,31,0.10258205837742,0.0617254093087853,0.938221623647617,0.404195625656548,-0.230591009582588,-0.0969134778867442,1.28475511941982,-0.816019466983073,-0.323165351558276
32,32,0.106477959505208,0.059556270682538,0.93777200128624,0.415568065489307,-0.227886729090533,-0.0952075117349452,1.31208843826661,-0.637481657445995,-0.139433872898575
33,33,0.110527589379581,0.0573338288972679,0.937294895908827,0.429708304198626,-0.226202151985884,-0.093013715882382,1.19614977931441,-0.693364444274924,-0.0187890846905337
34,34,0.114812510028183,0.0549725055747953,0.936763111342049,0.445621754991217,-0.22714163656871,-0.0909183364189636,1.04178090015425,-0.588440293004027,0.0101740730677598
