,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.95858301983687,0.596802285903848,17.7343154525233,-1.89159523492417,0.579918114203673,11.4178853309974
1,1,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.86003587315581,0.561796133306327,17.5740814781509,-1.79701256636335,0.546082122692019,11.2576136140915
2,2,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.66977061897726,0.497127425317602,17.316220987239,-1.61405113621025,0.48347793472436,10.9996893348585
3,3,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.44136452131942,0.421824419283814,17.0136698834081,-1.39413288352205,0.410496564506216,10.6970737166457
4,4,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.22800689069237,0.35332622775658,16.7192862908961,-1.1884827280553,0.34404450990545,10.4026405831264
5,5,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.08240183867612,0.307196341154515,16.4858678342892,-1.04806325488372,0.299268661013593,10.1691936815406
6,6,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.00200573785878,0.281192066885702,16.2961874446195,-0.970592385906677,0.274041121076046,9.97949900869139
7,7,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.951443820387396,0.264109791045387,16.1149224322293,-0.921955068678451,0.257487986571813,9.79822530400622
8,8,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.934093717968038,0.256984078828767,15.9675813519609,-0.905413213489096,0.2506157772011,9.6508807664084
9,9,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.953527093991732,0.260923855003425,15.8796349908843,-0.924414461418092,0.254503250276824,9.5629363272624
10,10,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.01359735575682,0.277311321956629,15.8765038450353,-0.982656585951698,0.270489182986949,9.55981344226978
11,11,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.12984787338643,0.311286739047154,15.9905661555157,-1.09510464140846,0.30355863265688,9.67389446029765
12,12,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.30102072146298,0.363124739000092,16.2043098521204,-1.26046575894553,0.353956215554899,9.88767083685259
13,13,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.5055899540732,0.426906159743413,16.4684548626709,-1.45787293490158,0.41590392704468,10.1518629152257
14,14,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.72109536716345,0.495691653941078,16.7340661305726,-1.66564345650595,0.482655539622419,10.4175334202937
15,15,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.92398824991968,0.561190817721337,16.9526128846452,-1.86116478637181,0.546188518335515,10.6361447605389
16,16,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.12980107453365,0.627755555256217,17.135020002305,-2.059483772193,0.610746025587284,10.8186256963722
17,17,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.35398429116428,0.700912149317628,17.3136877910648,-2.27542560167693,0.681671005649748,10.9973841139466
18,18,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.57182967061788,0.772672359147329,17.4728133505151,-2.48518138042219,0.751216170941415,11.1566082325919
19,19,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-2.75828871681862,0.834465128368776,17.5968594356159,-2.66467116402391,0.811086476558104,11.2807468534974
