,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90.0,0.0,0.0,90.0,-90.0,-90.0,0,0,-6.31676242321572,-1.86547590251932,0,17.7440319509875,-1.85414627492647,0.205320848969947,11.4239470446474
1,1,0,0,0,90.0,0.0,0.0,90.0,-90.0,-90.0,0,0,-6.31676242321572,-1.77319466634063,0,17.582775499012,-1.76242585600114,0.195157474589069,11.2630113011692
2,2,0,0,0,90.0,0.0,0.0,90.0,-90.0,-90.0,0,0,-6.31676242321572,-1.59407089298926,0,17.3231369630509,-1.58439050917033,0.175432526814905,11.0039487803513
3,3,0,0,0,90.0,0.0,0.0,90.0,-90.0,-90.0,0,0,-6.31676242321573,-1.37827071562143,0,17.0187437205401,-1.36990137127935,0.151673274733838,10.7001680097771
4,4,0,0,0,90.0,174.948847471982,174.948847471982,90.0,-2.53049303995912,-2.53049303995912,0,0,-6.31676242321573,-1.17608632089779,0,16.7229127190082,-1.16894508246009,0.129416970639569,10.4048300707718
5,5,0,0,0,90.0,5.05115252801793,5.05115252801793,90.0,0.0,0.0,0,0,-6.31676242321572,-1.03789906584419,0,16.4886503104246,-1.03159709941885,0.114207288754538,10.1708597213419
6,6,0,0,0,90.0,-5.05115252801793,-5.05115252801793,90.0,-174.948847471982,-174.948847471982,0,0,-6.31676242321572,-0.961745260687828,0,16.2985474965524,-0.955905778154863,0.105825936530415,9.98090226835233
7,7,0,0,0,90.0,-2.53049303995912,-2.53049303995912,90.0,0.0,0.0,0,0,-6.31676242321573,-0.914055402785986,0,16.1170291888798,-0.90850553139234,0.100577465664576,9.79946934984494
8,8,0,0,0,90.0,-90.0,-90.0,90.0,10.0249878620757,10.0249878620757,0,0,-6.31676242321572,-0.898051037197811,0,15.9695953740432,-0.892598355444771,0.0988161486586612,9.6520632175388
9,9,0,0,0,90.0,-10.0249878620757,-10.0249878620757,90.0,10.0249878620757,10.0249878620757,0,0,-6.31676242321572,-0.917136018096785,0,15.8817233487943,-0.911567438966031,0.10091649619083,9.5641581251189
10,10,0,0,0,90.0,-3.3722866834339,-3.3722866834339,90.0,90.0,90.0,0,0,-6.31676242321573,-0.974928434476423,0,15.8788632312448,-0.969008891720653,0.107276825904533,9.5611936320793
11,11,0,0,0,90.0,-90.0,-90.0,90.0,5.05115252801793,5.05115252801793,0,0,-6.31676242321572,-1.08612540263448,0,15.993516699117,-1.07953054519296,0.119515197898157,9.67562832760658
12,12,0,0,0,90.0,-165.148937531142,-165.148937531142,90.0,3.3722866834339,3.3722866834339,0,0,-6.31676242321573,-1.2493263144373,0,16.2082689638514,-1.24174022451041,0.137478776607634,9.89001673028212
13,13,0,0,0,90.0,-14.8510624688579,-14.8510624688579,90.0,0.0,0.0,0,0,-6.31676242321572,-1.44381121291131,0,16.4738340317419,-1.43504372042025,0.158888697556489,10.1550817211726
14,14,0,0,0,90.0,-19.4712206344907,-19.4712206344907,90.0,0.0,0.0,0,0,-6.31676242321572,-1.64818895347103,0,16.7411962800681,-1.63817974777434,0.181391583756837,10.4218405374641
15,15,0,0,0,90.0,-6.72136933936946,-6.72136933936946,90.0,19.4712206344907,19.4712206344907,0,0,-6.31676242321572,-1.84035430483204,0,16.9616265240921,-1.82917735342547,0.202553984976915,10.6416305379224
16,16,0,0,0,89.9999985212207,10.0249878620757,10.0249878620757,90.0,-7.55237227989766,-7.55237227989766,0,0,-6.31676242321573,-2.03522513247341,0,17.1461706579725,-2.02286373994377,0.22401893373755,10.8254532538095
17,17,0,0,0,90.0,-90.0,-90.0,90.0,10.0249878620757,10.0249878620757,0,0,-6.31676242321573,-2.24726859875875,0,17.3274353958398,-2.23361806511777,0.247381282616297,11.0058503997031
18,18,0,0,0,90.0,180.0,-180.0,90.0,1.68760489417698,1.68760489417698,0,0,-6.31676242321572,-2.45308991396831,0,17.4893569170595,-2.43818771286561,0.270064498905003,11.1668473990987
19,19,0,0,0,90.0,19.4712206344907,19.4712206344907,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,-2.62912787920615,0,17.6160086588343,-2.61315483134454,0.289470793715087,11.2926439625829
20,20,0,0,0,90.0,-174.948847471982,-174.948847471982,90.0,5.05115252801793,5.05115252801793,0,0,-6.31676242321572,-2.75175500030068,0,17.6915181360862,-2.73503583047115,0.302992291862701,11.367522596331
21,21,0,0,0,90.0,-5.05115252801793,-5.05115252801793,90.0,-90.0,-90.0,0,0,-6.31676242321572,-2.80676676615351,0,17.7166515711829,-2.78971282944632,0.309059058272917,11.3923636505548
22,22,0,0,0,90.0,-180.0,180.0,90.0,0.0,0.0,0,0,-6.31676242321573,-2.80972374224142,0,17.7021355196371,-2.79265181036556,0.309385173178224,11.3778317184995
23,23,0,0,0,90.0,-5.05115252801793,-5.05115252801793,90.0,90.0,90.0,0,0,-6.31676242321572,-2.78179335195252,0,17.646958704829,-2.76489139151201,0.30630488962474,11.3228042349287
24,24,0,0,0,90.0,90.0,90.0,90.0,-12.4604663685245,-12.4604663685245,0,0,-6.31676242321572,-2.74422585892372,0,17.5501483549695,-2.72755250429983,0.302162012006258,11.2261923797296
25,25,0,0,0,90.0,-90.0,-90.0,90.0,1.68760489417698,1.68760489417698,0,0,-6.31676242321572,-2.71826974026427,0,17.4108520829916,-2.70175432555946,0.299299766982334,11.0870316691625
26,26,0,0,0,89.9999987925817,-90.0,-90.0,90.0,1.68760489417698,1.68760489417697,0,0,-6.31676242321572,-2.69606863689577,0,17.2068432406762,-2.67968830794093,0.296851693280423,10.8831377509012
27,27,0,0,0,90.0,-3.3722866834339,-3.3722866834339,90.0,-90.0,-90.0,0,0,-6.31676242321572,-2.66415844726484,0,16.9386056906244,-2.64797227182122,0.293333171386769,10.6150637271924
28,28,0,0,0,90.0,0.0,0.0,90.0,-90.0,-90.0,0,0,-6.31676242321572,-2.63504502366533,0,16.63953460467,-2.61903597646222,0.290123187278435,10.316140130818
29,29,0,0,0,90.0,-14.8510624688579,-14.8510624688579,90.0,5.05115252801793,5.05115252801793,0,0,-6.31676242321572,-2.6207686109391,0,16.3431340500872,-2.60484641949048,0.288549154700187,10.0198113067668
30,30,0,0,0,90.0,-19.4712206344907,-19.4712206344907,90.0,90.0,90.0,0,0,-6.31676242321572,-2.63288304747807,0,16.083006487343,-2.61688715357077,0.289884818322443,9.75962290126757
31,31,0,0,0,90.0,-174.948847471982,-174.948847471982,90.0,5.05115252801793,5.05115252801793,0,0,-6.31676242321572,-2.68156788335398,0,15.8556855754583,-2.66527578364301,0.295252770289578,9.53205463818576
32,32,0,0,0,90.0,-169.975012137924,-169.975012137924,90.0,7.55237227989766,7.55237227989766,0,0,-6.31676242321572,-2.75885291682725,0,15.6389749074108,-2.74209055529193,0.303775027668954,9.31494196951907
33,33,0,0,0,90.0,-90.0,-90.0,90.0,5.05115252801793,5.05115252801793,0,0,-6.31676242321572,-2.84871968768532,0,15.4383407725273,-2.83141043102539,0.313686057622007,9.11382597213417
34,34,0,0,0,90.0,-5.05115252801793,-5.05115252801793,90.0,14.8510624688579,14.8510624688579,0,0,-6.31676242321571,-2.935119283227,0,15.2591274251269,-2.91728415162648,0.323216147837307,8.93413473075142
35,35,0,0,0,89.9999985212207,-10.0249878620757,-10.0249878620757,89.9999987925817,3.3722866834339,3.3722866834339,0,0,-6.31676242321572,-3.00198136822026,0,15.1065732405747,-2.98373922241054,0.330592199113277,8.78120087579637
36,36,0,0,0,90.0,-90.0,-90.0,90.0,1.68760489417698,1.68760489417698,0,0,-6.31676242321572,-3.05077114181276,0,14.9888030604287,-3.03223196353739,0.335975121742891,8.66314822600839
37,37,0,0,0,90.0,3.3722866834339,3.3722866834339,90.0,0.0,0.0,0,0,-6.31676242321572,-3.09193402637262,0,14.9022230134104,-3.07314422742166,0.340516953094032,8.57632630713191
38,38,0,0,0,90.0,174.948847471982,174.948847471982,90.0,0.0,0.0,0,0,-6.31676242321572,-3.12293699299402,0,14.8344416038178,-3.10395841942765,0.343937988841585,8.50836057456501
39,39,0,0,0,90.0,-90.0,-90.0,90.0,0.0,0.0,0,0,-6.31676242321572,-3.14131945108705,0,14.7730787042267,-3.12222894297625,0.345966503229682,8.44688751243151
40,40,0,0,0,90.0,14.8510624688579,14.8510624688579,90.0,0.0,0.0,0,0,-6.31676242321572,-3.14467283659842,0,14.705760240736,-3.12556190861725,0.346336558768908,8.379548882671
41,41,0,0,0,90.0,5.05115252801793,5.05115252801793,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,-3.13081350151343,0,14.6240211417857,-3.11178696675363,0.34480715728644,8.29789298968271
42,42,0,0,0,90.0,-5.05115252801793,-5.05115252801793,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,-3.10133433305832,0,14.5360755096617,-3.08248729754244,0.341554213036751,8.21012311062767
43,43,0,0,0,90.0,0.0,0.0,90.0,-2.53049303995912,-2.53049303995912,0,0,-6.31676242321572,-3.05953097136937,0,14.4545709799517,-3.04093846037696,0.336941635091981,8.12886494583691
44,44,0,0,0,90.0,-5.05115252801793,-5.05115252801793,90.0,90.0,90.0,0,0,-6.31676242321572,-3.00870288781151,0,14.3921485453824,-2.99041982291681,0.331333748674132,8.06673753789352
45,45,0,0,0,90.0,90.0,90.0,90.0,1.68760489417698,1.68760489417698,0,0,-6.31676242321572,-2.95213454419563,0,14.3614337133624,-2.93419583903821,0.325093143660325,8.03634521410213
46,46,0,0,0,90.0,180.0,-180.0,90.0,0.0,0.0,0,0,-6.31676242321572,-2.85947218033161,0,14.3670247165521,-2.84209748246092,0.314872006446773,8.04245122299228
47,47,0,0,0,90.0,-90.0,-90.0,90.0,5.05115252801793,5.05115252801793,0,0,-6.31676242321571,-2.72839775187865,0,14.4002780398945,-2.71182071022281,0.300416593190312,8.07640488418936
48,48,0,0,0,90.0,0.0,0.0,90.0,90.0,90.0,0,0,-6.31676242321572,-2.60423866826746,0,14.4541829594681,-2.58841704029148,0.286726705574063,8.1309427808598
49,49,0,0,0,90.0,-90.0,-90.0,90.0,5.05115252801793,5.05115252801793,0,0,-6.31676242321572,-2.53244400458743,0,14.5221115776157,-2.51705912480788,0.278811788600699,8.19922392113492
50,50,0,0,0,89.9999985212207,-169.975012137924,-169.975012137924,89.9999987925817,5.05115252801793,5.05115252801793,0,0,-6.31676242321572,-2.558647017256,0,14.5976454692424,-2.54310274242267,0.281700406717707,8.27463029790933
51,51,0,0,0,90.0,-90.0,-90.0,90.0,5.05115252801793,5.05115252801793,0,0,-6.31676242321572,-2.69957302772069,0,14.6835796517581,-2.68317137613049,0.297238109947854,8.35985608436894
52,52,0,0,0,90.0,-90.0,-90.0,90.0,5.05115252801793,5.05115252801793,0,0,-6.31676242321572,-2.92503053950983,0,14.7841385448752,-2.90725681760148,0.322103260072885,8.45920239279384
53,53,0,0,0,90.0,-90.0,-90.0,90.0,0.0,0.0,0,0,-6.31676242321573,-3.21046956565435,0,14.8947768434366,-3.19095795318978,0.353597891974944,8.56816542851014
54,54,0,0,0,90.0,5.05115252801793,5.05115252801793,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,-3.53138380123257,0,15.0107430131887,-3.50991715413892,0.389027617248295,8.68206097618962
55,55,0,0,0,90.0,0.0,0.0,90.0,0.0,0.0,0,0,-6.31676242321572,-3.86328239324893,0,15.127157571225,-3.83979238325766,0.425695529778386,8.79612531839798
56,56,0,0,0,90.0,2.53049303995912,2.53049303995912,90.0,-165.148937531142,-165.148937531142,0,0,-6.31676242321572,-4.21637314536939,0,15.2676234973061,-4.19072885226085,0.464735917124047,8.93385753889585
57,57,0,0,0,90.0,14.8510624688579,14.8510624688579,90.0,-90.0,-90.0,0,0,-6.31676242321572,-4.60817895046733,0,15.4331365979932,-4.58014188695376,0.508098096517807,9.09605490633917
