,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.047887121113064,-0.0446178391246488,12.6128474713339,0.0590550672354026,0.0564364793596216,-12.6128008929402,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-2.50943449488295,0.405246153748779,12.3739709991769,0.498565901477604,3.62678033689639,-1.41482274394661,-1.47728668303377,-1.11380782802845,6.39664612771824,0.0,0.0,0.0,2.59867846216727,-2.84307083403272,18.970662870867,1.84432535875573,4.96134564173616,10.9364043702438,-2.38618229182744,1.02961572827994,10.8684505524959,0.0,0.0,0.0
1,1,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0404934641215555,-0.0439529011392064,12.6127414885275,0.0513296879658813,0.0541005888983525,-12.6127026827942,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-2.25636811360857,0.749546426419233,13.3175673743321,0.18608956777423,3.24260059340689,0.800496313203709,-1.5259086577875,-1.34274741487368,6.66353596757707,0.526140112234868,0.0130836410164075,-0.414616352722094,2.45883806125854,-2.71562085307979,18.8180597655136,1.82939316926125,4.74185419266156,11.1879311443132,-2.33243502060488,0.941685960794612,11.0789516646971,0.0,0.0,0.0
2,2,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0348175397102015,-0.0435119933024383,12.6126393665164,0.0454146568225673,0.0523786548624234,-12.6126062071933,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.93773237711972,1.25587691984946,14.2055480807951,-0.162381809559196,2.64084032465336,3.07584262247497,-1.66309346929087,-1.67541738664613,6.67011573827638,1.28703305645209,0.0154258959551822,-0.998194913224045,2.23748310866623,-2.482265823662,18.5728270103263,1.77251295814031,4.3597070357402,11.457601952029,-2.27392735287398,0.909433590922494,11.2839257081801,0.0,0.0,0.0
3,3,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0303191216268209,-0.0432333652022161,12.6125410036236,0.0407425688170443,0.0510865106741181,-12.6125121154855,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.60328815656921,1.80074373732833,15.0647692217178,-0.549477154259176,1.94808623585333,5.32068226548595,-1.84743245655754,-2.05055150416035,6.50095810282467,2.13380312567439,-0.00480542978312203,-1.70150577388654,1.9883788286638,-2.2131294908351,18.273043357914,1.69022152789379,3.90693681042808,11.718076835888,-2.21756594153355,0.907882539266665,11.4830664868705,0.0,0.0,0.0
4,4,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495348,-0.0264600820506031,-0.0430475606657458,12.6124491561218,0.0367464489498815,0.0500325691071075,-12.6124237990088,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.29716086839179,2.25810554807297,15.9213596630383,-0.960364788324261,1.29348085592849,7.44712598350761,-2.03406656086072,-2.40865485900539,6.23974663084404,2.91980723629614,-0.0475960068923141,-2.47034097207862,1.76537641698432,-1.9774505185598,17.9566040014412,1.60103947761883,3.47612555291375,11.9425299755619,-2.17010124889502,0.912112188665651,11.6760089156204,0.0,0.0,0.0
5,5,0,0,-2.84254309044707,0,0,-7.08969429797764,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0227025611289945,-0.0428828591715667,12.6123704019383,0.0328590946097242,0.0490229879918111,-12.6123483929918,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.05765503618139,2.49908826149132,16.8008886128235,-1.36387484531334,0.810858362731931,9.37062005427094,-2.17467956238059,-2.69107646074593,5.96923362718754,3.50121338511141,-0.0992186882998874,-3.24546045840248,1.62228485108922,-1.84347758701844,17.6611573295711,1.52532922572915,3.16038172993354,12.1048050371337,-2.13815192190182,0.897252326326084,11.86233140673,0.0,0.0,0.0
6,6,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0191671761085341,-0.0427545149075305,12.6122859341051,0.0292075015546207,0.0481003740113794,-12.612266991165,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.884461049868258,2.44622252868472,17.7104453490823,-1.74215079109229,0.567479192583432,11.161973387996,-2.25015516567586,-2.90322350405369,5.63834114351604,3.84649973551672,-0.149587504515543,-4.151065265485,1.55760526018441,-1.80359615619943,17.3700439549492,1.46613085330163,2.96286800087947,12.2034584734708,-2.12159110054469,0.855240185670762,12.0418262627834,0.0,0.0,0.0
7,7,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0162149715892643,-0.0427022314417586,12.6121850765454,0.0261705160709394,0.0473861911427768,-12.612168618917,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.742891869626451,2.18248809462394,18.6319096834806,-2.09576336432986,0.476797957395067,12.8815166052953,-2.28863335839721,-3.08723864104334,5.19155574949857,4.04852403943994,-0.198296283435831,-5.2232074367072,1.53509035927827,-1.81153306049021,17.0578917602819,1.41149656239673,2.82197404344467,12.2561929585877,-2.11597424803496,0.802787581140337,12.214783611041,0.0,0.0,0.0
8,8,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495348,-0.0136689132895325,-0.0426889443956574,12.6120907853499,0.0235584523379662,0.0468028567345964,-12.6120764262665,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.61894894304789,1.81827080991783,19.5528931679759,-2.41920560044072,0.447670127769895,14.4298107766149,-2.31103217697448,-3.23851659553872,4.70428841505653,4.15534755516554,-0.238179096208656,-6.26796101711098,1.55634939580586,-1.87700821523095,16.748988312892,1.36019853988861,2.73386849470635,12.2659439401985,-2.121403935934,0.752230596201819,12.3815177191221,0.0,0.0,0.0
9,9,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0113520798316091,-0.0426768565348408,12.6120275617743,0.0211815770131889,0.0462720597877616,-12.6120150892385,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.503410898800646,1.46505575353474,20.461322029216,-2.71713956549205,0.38990333038576,15.7051853800014,-2.33907882482326,-3.35101691765679,4.25157895542755,4.21954667183909,-0.265816436044741,-7.09230947493834,1.6230371423943,-2.00986111809602,16.467563075478,1.31080300565007,2.69466528523589,12.2356145517965,-2.13806473999653,0.71593063894483,12.5423441494048,0.0,0.0,0.0
10,10,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495348,-0.00908779767093028,-0.0426273217196895,12.6120212926696,0.0188502214602154,0.0457146726068331,-12.6120106550605,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.39154836060641,1.23557864487787,21.3455942047698,-3.0014358218013,0.213359379574257,16.6042115803454,-2.39580645612216,-3.41771492940232,3.9080754467274,4.29799876412107,-0.281997464564619,-7.50424925875215,1.73685880928848,-2.22017565700778,16.2377807264742,1.26167792466558,2.70044734870599,12.1681030108054,-2.16621855978698,0.706276256236067,12.6975593061752,0.0,0.0,0.0
11,11,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.00689963216329345,-0.0425239540990623,12.6120852761695,0.0165848764410277,0.0451191736862601,-12.6120764050075,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.285760075024454,1.14582758701444,22.2161957594148,-3.29953620506416,-0.126953554199982,17.0651716884634,-2.49476043683686,-3.40846201805058,3.69619236614163,4.47568748422142,-0.294445223866527,-7.41692385883132,1.91163547801842,-2.54898185925606,16.0788586899942,1.21599241347054,2.77715135874912,12.0473077666653,-2.21207359759854,0.725564250587047,12.8447713057361,0.0,0.0,0.0
12,12,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.00490805293556647,-0.042383842977931,12.6122007718156,0.0145127967597645,0.04453001682216,-12.6121934967263,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.191744545239903,1.11988951765705,23.0810748380021,-3.60528111555519,-0.565905100897321,17.1560669026559,-2.62125052425573,-3.32792420716971,3.56505851409529,4.72232711578115,-0.300582868980977,-6.9588463278427,2.14524029187367,-2.98994070119569,15.9738000189292,1.17484674265756,2.92742986050175,11.8714348868479,-2.27562614544159,0.765732614300978,12.9837211030919,0.0,0.0,0.0
13,13,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.00308118928951295,-0.0422207270620985,12.6123459304941,0.01260437897885,0.0439541398364611,-12.6123401046103,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.111569072248483,1.13398069093484,23.9252735605618,-3.88169861655252,-1.02882730355678,16.9675767026403,-2.75731348638115,-3.22095131651558,3.47979418497649,4.92270122320477,-0.288556671236808,-6.26031093339024,2.41587209677235,-3.48223979464134,15.8926680499115,1.13330840585055,3.11242062838112,11.6648144875258,-2.34783920613653,0.823570930756417,13.1178785378696,0.0,0.0,0.0
14,14,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495348,-0.00138577985550895,-0.0420521186024026,12.6124983253179,0.0108294395163305,0.0434020394991954,-12.6124938263253,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.0463283149604642,1.16496470829649,24.7336045873415,-4.0932161603416,-1.44216314773071,16.5907897275361,-2.88381711224081,-3.13203192407891,3.40643676039553,4.95942050234552,-0.251915616453736,-5.44968663423449,2.70234940702203,-3.96470654133114,15.805977056896,1.08663647562007,3.29330378431088,11.4517307126251,-2.41963948062401,0.895775796647739,13.2507496953218,0.0,0.0,0.0
15,15,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.000212785496212941,-0.0418986596307828,12.6126351591049,0.00915711373413405,0.0428871206563254,-12.6126318905828,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.00359239966711172,1.19031444610752,25.4906125684857,-4.20737515349078,-1.73369144110437,16.1168757186113,-2.97968658401648,-3.10490447997522,3.31168578659041,4.71302903774835,-0.191618493115594,-4.65378699385034,2.98421365702808,-4.37566482200095,15.6847452714037,1.03043078339638,3.4313292764678,11.2564254872906,-2.4819233201089,0.978958355905555,13.3859060110163,0.0,0.0,0.0
