,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0467315003708536,-0.0550745721628618,12.6128517356868,0.0576299498967458,0.0435411353488967,-12.612807378218,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-2.45110364190863,-0.132832899022829,12.385482304261,0.498413902640351,3.6390906412608,-1.41487628772949,-1.46808773017435,-1.27842948947816,6.39875529206723,0.0,0.0,0.0,2.45744252946335,-1.99776368230242,18.988793786769,1.81081813951737,4.61132494384857,10.9419360042392,-2.34335649473938,0.579438784168862,10.8776578412105,0.0,0.0,0.0
1,1,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,-0.0395162848769684,-0.0527950659466838,12.6127445377007,0.0500910188550011,0.0428922558934428,-12.6127075822551,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-2.19566038950469,0.229541716494808,13.3275323432634,0.186071405931894,3.24000075635619,0.800500534769106,-1.51559827348149,-1.51985309394178,6.66587852168907,0.526126336038699,0.0168910858909231,-0.414633834036732,2.32733297072682,-1.92205154203623,18.8341794826953,1.79461598421512,4.38678508854904,11.1934923465069,-2.2889428230322,0.493243240166817,11.0879104530459,0.0,0.0,0.0
2,2,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,-0.0339773441935754,-0.0511147007016732,12.612641620782,0.0443187438223581,0.0424620011963668,-12.612610042499,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-1.8784580309877,0.780184505882326,14.2133466780292,-0.162147878872794,2.64955339847649,3.07585495154525,-1.65183347020326,-1.86864372837304,6.67290128507455,1.28683770924825,0.0378509492811711,-0.998446752172528,2.12089931321567,-1.76927986719968,18.5860248727204,1.73717932121394,4.00750225653424,11.4629417141021,-2.22994898355844,0.464267094905381,11.2925897747476,0.0,0.0,0.0
3,3,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0295874905633771,-0.0498537535805526,12.612542713005,0.0397594138469671,0.0421901104436178,-12.612515202237,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-1.54817370762114,1.38393038786731,15.0704008893964,-0.547109544415206,1.99904080754224,5.32092554646061,-1.83554931788819,-2.25978907696768,6.50431000034331,2.13286185454489,0.0585818297593205,-1.70268572027373,1.88807377415591,-1.58945602217587,18.2833203776589,1.65498534872995,3.56356368724206,11.7230363521748,-2.17315670407505,0.466201430717925,11.4914437365318,0.0,0.0,0.0
4,4,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0258215827899999,-0.0488252597409688,12.6124504580443,0.0358597363549672,0.0420088026981958,-12.6124263099281,0,0,0,90.0,-2.53049303995912,-2.53049303995912,0,90,0,0,0,0,0,0,0,90.0,174.948847471982,174.948847471982,0,90,0,0,0,0,-1.24739260498773,1.90221508829121,15.9252338933419,-0.952263258582553,1.41796635671381,7.44816049028179,-2.02201133303944,-2.62982730885031,6.24364971218449,2.91709141559762,0.0783630385229551,-2.47354813315659,1.67936018590732,-1.43303510691168,17.9645831398002,1.56637729159757,3.14473914794892,11.9470600641873,-2.12517590309603,0.47273154183867,11.6841584932478,0.0,0.0,0.0
5,5,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0221547401543063,-0.0478400531092322,12.6123713603452,0.0320661955373078,0.0418480867584337,-12.6123504007469,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,5.05115252801793,5.05115252801793,0,90,0,0,0,0,-1.01250424172068,2.19334479562194,16.8035901673667,-1.34567163179125,1.03296537301624,9.37322842455093,-2.16288257176253,-2.91733847666356,5.97350477013713,3.4955910130437,0.0992442018530494,-3.25151641104667,1.54580329276253,-1.35117775505758,17.6677987397449,1.49140677885748,2.84044707124721,12.1089692260661,-2.0924697447985,0.457536536147844,11.8703616559714,0.0,0.0,0.0
6,6,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,-0.0187046714241173,-0.0469397159198622,12.6122866172515,0.0285027255124636,0.0417228518609308,-12.6122685774665,0,0,0,90.0,-174.948847471982,-174.948847471982,0,90,0,0,0,0,0,0,0,90.0,-5.05115252801793,-5.05115252801793,0,90,0,0,0,0,-0.842539839977292,2.17714412805628,17.712423799996,-1.7091861333015,0.904830494249113,11.1670055264862,-2.23926307781596,-3.12441132033953,5.64266398704826,3.8363939480109,0.129263586320899,-4.16040438800375,1.48655675630981,-1.33848143798417,17.3760780993324,1.43299390512902,2.65288706135271,12.2073350682258,-2.07488603508577,0.412428190663481,12.0498450857016,0.0,0.0,0.0
7,7,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,-0.0158237099479987,-0.0462427832971851,12.6121855654528,0.0255390322091132,0.0416718453881191,-12.6121698924738,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,-2.53049303995912,-2.53049303995912,0,90,0,0,0,0,-0.703955357877326,1.94513178246147,18.6333678239402,-2.04299697583193,0.944216439923633,12.8898509105395,-2.2792398355568,-3.29443678114622,5.19567749337238,4.03168511525757,0.170874464898061,-5.23620141116143,1.46754486483807,-1.36113452045464,17.0636602445604,1.37931967974812,2.52227900121407,12.2598005207917,-2.06805036139374,0.354901609554943,12.2228675924602,0.0,0.0,0.0
8,8,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0133390920662929,-0.0456735404361054,12.6120911327734,0.0229900047911885,0.0416588935075297,-12.6120774582774,0,0,0,90.0,10.0249878620757,10.0249878620757,0,90,0,0,0,0,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,-0.583254701779729,1.61111572482271,19.5539475680855,-2.34284520623075,1.05085739628323,14.4421448821869,-2.30324268662816,-3.42815367771261,4.70810055840491,4.13046430908888,0.216283014159799,-6.2843493336319,1.49030830408443,-1.42839926658923,16.7548230075117,1.32914232548681,2.44484300828463,12.2692964912368,-2.07204147662578,0.297160199497373,12.3897472299128,0.0,0.0,0.0
9,9,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0110781649000276,-0.0451555616458989,12.6120278014037,0.0206704866176956,0.0416471069575892,-12.6120159235062,0,0,0,90.0,10.0249878620757,10.0249878620757,0,90,0,0,0,0,0,0,0,90.0,-10.0249878620757,-10.0249878620757,0,90,0,0,0,0,-0.471649151146197,1.28907191676169,20.4620463684422,-2.61562938348332,1.12591061080375,15.7219883902388,-2.33263844949368,-3.52452267252999,4.25511134838244,4.18720306883409,0.2560932054752,-7.11138880244782,1.55644402920473,-1.54966154513145,16.4738141709742,1.28102224036268,2.41681747920881,12.2387207556659,-2.08701864243221,0.251420730031469,12.5508050985272,0.0,0.0,0.0
