,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-1.86547590251932,17.7440319509875,-6.30138615857491,-1.83856598134293,14.9029730345573,-6.20567133766531,-1.79337096656663,7.81682979060651,-5.97666038766786,-1.78837203541806,6.54818709762066,-5.93668109775879,-1.81266596796162,11.4305159873134,-6.0920201773683,-2.01673671610267,24.0347219902454,-6.58561831168137,-1.81266596796162,11.4305159873134,-6.0920201773683,-1.81266596796162,11.4305159873134,-6.0920201773683,-1.81266596796162,11.4305159873134,-6.0920201773683,-1.81266596796162,11.4305159873134,-6.0920201773683,-1.81266596796162,11.4305159873134,-6.0920201773683,-1.81266596796162,11.4305159873134,-6.0920201773683,-1.81266596796162,11.4305159873134,-6.0920201773683,-1.81266596796162,11.4305159873134,-6.0920201773683,-1.81266596796162,11.4305159873134,-6.0920201773683,0.654107788162244,5.36631110190209,-6.0329801788251,0.405269508330235,3.93374808767791,-2.4014865909748,1.92730695603333,-2.42245844320373,-3.72558384964769,1.92730695603333,-2.42245844320373,-3.72558384964769,0.636845504265602,-1.2583142021411,-3.6962415653694,1.66310523848056,9.84878535958325,-8.24975631653343,-0.694109912511004,-1.03145627893904,-9.14310163927128,-0.694109912511004,-1.03145627893904,-9.14310163927128
1,1,-1.77319466634063,17.582775499012,-6.500573955428,-1.74788039286838,14.7415735905662,-6.40966019815112,-1.7055333678576,7.65508987083832,-6.19202493874559,-1.70088722688213,6.3863879790796,-6.15401537261146,-1.72356798527562,11.2689472839688,-6.30167413971902,-1.91143699971562,23.8738707280413,-6.77089842944019,-1.72356798527562,11.2689472839688,-6.30167413971902,-1.72356798527562,11.2689472839688,-6.30167413971902,-1.72356798527562,11.2689472839688,-6.30167413971902,-1.72356798527562,11.2689472839688,-6.30167413971902,-1.72356798527562,11.2689472839688,-6.30167413971902,-1.72356798527562,11.2689472839688,-6.30167413971902,-1.72356798527562,11.2689472839688,-6.30167413971902,-1.72356798527562,11.2689472839688,-6.30167413971902,-1.72356798527562,11.2689472839688,-6.30167413971902,0.517742793055857,4.25924897860973,-5.86058201228031,0.618428240146351,5.03282973551173,-2.60082114502162,2.17442722622105,-1.57555713774173,-4.19201103657073,1.64820390097473,-1.99037826854741,-4.19085806277062,0.594554880589168,-1.26361039047692,-4.00567950333437,1.62415334871539,10.0832994828417,-8.34034291760812,-0.681001933676375,-1.00615154921353,-9.1459827016671,-0.681001933676375,-1.00615154921353,-9.1459827016671
2,2,-1.59407089298925,17.3231369630509,-6.69479577660171,-1.57169583898198,14.4816780547396,-6.61316000179452,-1.53451247627526,7.3945812617062,-6.41757393623158,-1.53048852482975,6.12577260960549,-6.38339183386605,-1.55028244728759,11.0087471745189,-6.51614274451648,-1.71720049028421,23.614960875081,-6.94132286519099,-1.55028244728759,11.0087471745189,-6.51614274451648,-1.55028244728759,11.0087471745189,-6.51614274451648,-1.55028244728759,11.0087471745189,-6.51614274451648,-1.55028244728759,11.0087471745189,-6.51614274451648,-1.55028244728759,11.0087471745189,-6.51614274451648,-1.55028244728759,11.0087471745189,-6.51614274451648,-1.55028244728759,11.0087471745189,-6.51614274451648,-1.55028244728759,11.0087471745189,-6.51614274451648,-1.55028244728759,11.0087471745189,-6.51614274451648,0.396881209678654,3.10987988789673,-5.52154652568929,0.847196186563235,6.15310118881217,-2.83533697133775,2.50976889467022,-0.437495752171596,-4.80070978617471,1.22269756812914,-1.43579253485111,-4.80658879794063,0.559713060843935,-1.27402772790474,-4.41703649195448,1.58070371724268,10.3243103352639,-8.37428414919672,-0.666790233996156,-0.969513116192709,-9.14812391422758,-0.666790233996156,-0.969513116192709,-9.14812391422758
3,3,-1.37827071562142,17.0187437205401,-6.88732124961512,-1.35931106137133,14.1770113791098,-6.81683058276032,-1.32805874487716,7.08926136700968,-6.64778349731872,-1.32473456756644,5.82033882660447,-6.61821587340676,-1.34124503415831,10.703756147927,-6.73300633549943,-1.48615053713649,23.3113476352412,-7.10615209396999,-1.34124503415831,10.703756147927,-6.73300633549943,-1.34124503415831,10.703756147927,-6.73300633549943,-1.34124503415831,10.703756147927,-6.73300633549943,-1.34124503415831,10.703756147927,-6.73300633549943,-1.34124503415831,10.703756147927,-6.73300633549943,-1.34124503415831,10.703756147927,-6.73300633549943,-1.34124503415831,10.703756147927,-6.73300633549943,-1.34124503415831,10.703756147927,-6.73300633549943,-1.34124503415831,10.703756147927,-6.73300633549943,0.276610287475995,1.94635383626607,-5.14406873442322,1.08012090049719,7.23396645370258,-3.1033322635819,2.87612070712169,0.844815427943046,-5.48281371593519,0.742391674364439,-0.85648530532488,-5.50966240100987,0.534689306752809,-1.2749242397763,-4.8650976488024,1.53785447028791,10.5638102418638,-8.37704100437318,-0.653639428425447,-0.928940340305038,-9.14965097184649,-0.653639428425447,-0.928940340305038,-9.14965097184649
4,4,-1.17608632089779,16.7229127190082,-7.08076435230371,-1.1602275604464,13.8809601300767,-7.02069029838973,-1.13430327759108,6.79268326208317,-6.87648898033137,-1.13159536205125,5.52366876384743,-6.85124746065403,-1.14518313085233,10.40744341545,-6.94920998017467,-1.27034018485401,23.0161498638866,-7.27391496219117,-1.14518313085233,10.40744341545,-6.94920998017467,-1.14518313085233,10.40744341545,-6.94920998017467,-1.14518313085233,10.40744341545,-6.94920998017467,-1.14518313085233,10.40744341545,-6.94920998017467,-1.14518313085233,10.40744341545,-6.94920998017467,-1.14518313085233,10.40744341545,-6.94920998017467,-1.14518313085233,10.40744341545,-6.94920998017467,-1.14518313085233,10.40744341545,-6.94920998017467,-1.14518313085233,10.40744341545,-6.94920998017467,0.147460708212524,0.796395007707392,-4.8556612894918,1.30629558098372,8.21474008821746,-3.40394190196205,3.2217777790026,2.12267067511303,-6.17330838959884,0.302057567216887,-0.347385221066723,-6.23392039333268,0.521617354464878,-1.25154045396837,-5.28465310765451,1.50050277230811,10.7937582298527,-8.37405797383797,-0.643713578880352,-0.891832630375246,-9.15069596750378,-0.643713578880352,-0.891832630375246,-9.15069596750378
5,5,-1.03789906584418,16.4886503104246,-7.27694005861545,-1.02412658160508,13.6465672124364,-7.22397683754953,-1.00176752574457,6.55797789075487,-7.09675023438551,-0.999467697359296,5.28890881862572,-7.07446633982968,-1.01110907936378,10.1728954704161,-7.16092747585573,-1.12168654676045,22.7822590333231,-7.45225772602918,-1.01110907936378,10.1728954704161,-7.16092747585573,-1.01110907936378,10.1728954704161,-7.16092747585573,-1.01110907936378,10.1728954704161,-7.16092747585573,-1.01110907936378,10.1728954704161,-7.16092747585573,-1.01110907936378,10.1728954704161,-7.16092747585573,-1.01110907936378,10.1728954704161,-7.16092747585573,-1.01110907936378,10.1728954704161,-7.16092747585573,-1.01110907936378,10.1728954704161,-7.16092747585573,-1.01110907936378,10.1728954704161,-7.16092747585573,0.00531101617714462,-0.312766407421802,-4.78352515674852,1.51548711740273,9.03462405569043,-3.73699690595118,3.50121338511141,3.24546045840248,-6.81097750644068,0.0,0.0,-6.91019619474057,0.522485418751442,-1.18906302550084,-5.61048295062103,1.47334331603244,11.0060787386372,-8.39077043657722,-0.63917658598096,-0.865589363440601,-9.15139604565352,-0.63917658598096,-0.865589363440601,-9.15139604565352
6,6,-0.961745260687821,16.2985474965525,-7.47452543751769,-0.949150668763703,13.4563994440504,-7.42548715615173,-0.928822310365735,6.36765466084258,-7.30761825223724,-0.926758842066289,5.09855844239172,-7.28696308388782,-0.937283050454982,9.982650559658,-7.36708764989463,-1.03806294655205,22.5923091510807,-7.63958137492849,-0.937283050454982,9.982650559658,-7.36708764989463,-0.937283050454982,9.982650559658,-7.36708764989463,-0.937283050454982,9.982650559658,-7.36708764989463,-0.937283050454982,9.982650559658,-7.36708764989463,-0.937283050454982,9.982650559658,-7.36708764989463,-0.937283050454982,9.982650559658,-7.36708764989463,-0.937283050454982,9.982650559658,-7.36708764989463,-0.937283050454982,9.982650559658,-7.36708764989463,-0.937283050454982,9.982650559658,-7.36708764989463,-0.134406803419622,-1.40742873976757,-5.00404878760261,1.72820718799705,9.73348328614435,-4.1127603814264,3.71807692026403,4.30223911592747,-7.40890370867633,-0.128455664995613,0.150849382655213,-7.54919526914529,0.538031276411252,-1.08808102488924,-5.84861110763981,1.4580688836316,11.1983351427755,-8.43546604825013,-0.638308125303169,-0.852327028140733,-9.15230587776265,-0.638308125303169,-0.852327028140733,-9.15230587776265
7,7,-0.914055402785992,16.1170291888798,-7.6719600847917,-0.902237007046297,13.2748429911822,-7.62538832005979,-0.883270542983035,6.18600701318616,-7.51338389916871,-0.881370769628527,4.91689488542905,-7.49374708597628,-0.89113445599827,9.80104883649068,-7.56990575609877,-0.984769966703294,22.4108344474505,-7.8303888382252,-0.89113445599827,9.80104883649068,-7.56990575609877,-0.89113445599827,9.80104883649068,-7.56990575609877,-0.89113445599827,9.80104883649068,-7.56990575609877,-0.89113445599827,9.80104883649068,-7.56990575609877,-0.89113445599827,9.80104883649068,-7.56990575609877,-0.89113445599827,9.80104883649068,-7.56990575609877,-0.89113445599827,9.80104883649068,-7.56990575609877,-0.89113445599827,9.80104883649068,-7.56990575609877,-0.89113445599827,9.80104883649068,-7.56990575609877,-0.260305620152085,-2.50670841711439,-5.43265240498201,1.95126858097956,10.3522795929291,-4.53230702148926,3.90299380196837,5.39258813477194,-8.00986817493337,-0.145472173922112,0.168894994169548,-8.19491615841638,0.566693688695877,-0.958306901215059,-6.04246609894002,1.45151852171737,11.375916671927,-8.49111037889993,-0.639664997934002,-0.847112902998119,-9.15333824445354,-0.639664997934002,-0.847112902998119,-9.15333824445354
8,8,-0.898051037197808,15.9695953740432,-7.87026323549519,-0.886560460142636,13.1273968351863,-7.82453444947133,-0.868208351578545,6.03853156186932,-7.71450630478115,-0.866390827502365,4.76941435407198,-7.69520853669451,-0.87579312434549,9.65358810075133,-7.77003987649236,-0.964985020480163,22.2633606153383,-8.02601208073056,-0.87579312434549,9.65358810075133,-7.77003987649236,-0.87579312434549,9.65358810075133,-7.77003987649236,-0.87579312434549,9.65358810075133,-7.77003987649236,-0.87579312434549,9.65358810075133,-7.77003987649236,-0.87579312434549,9.65358810075133,-7.77003987649236,-0.87579312434549,9.65358810075133,-7.77003987649236,-0.87579312434549,9.65358810075133,-7.77003987649236,-0.87579312434549,9.65358810075133,-7.77003987649236,-0.87579312434549,9.65358810075133,-7.77003987649236,-0.382556265934832,-3.57274159009479,-5.95487893114276,2.15535090563839,10.8314013768851,-4.98273294511326,4.05760499956219,6.38041948008013,-8.5998343311577,-0.0976040081485489,0.112062737759907,-8.82734214103548,0.607116816028214,-0.798658797213118,-6.18290884914002,1.45102834087576,11.5424727447968,-8.54515992709495,-0.645826752682161,-0.846772536607657,-9.15366887340032,-0.645826752682161,-0.846772536607657,-9.15366887340032
9,9,-0.917136018096797,15.8817233487943,-8.07051394699801,-0.905474780656939,13.0395396389342,-8.02383007462813,-0.886904384573049,5.95071028484369,-7.91147281130513,-0.88507804094306,4.68159941172571,-7.89176201455117,-0.894564286829365,9.56574865228807,-7.96818742778,-0.982077229903931,22.175386043676,-8.22786414681049,-0.894564286829365,9.56574865228807,-7.96818742778,-0.894564286829365,9.56574865228807,-7.96818742778,-0.894564286829365,9.56574865228807,-7.96818742778,-0.894564286829365,9.56574865228807,-7.96818742778,-0.894564286829365,9.56574865228807,-7.96818742778,-0.894564286829365,9.56574865228807,-7.96818742778,-0.894564286829365,9.56574865228807,-7.96818742778,-0.894564286829365,9.56574865228807,-7.96818742778,-0.894564286829365,9.56574865228807,-7.96818742778,-0.516396307249836,-4.5673883117851,-6.45573557866379,2.31236072239649,11.1107040731163,-5.45169986954036,4.1867357096772,7.12964394271731,-9.16493765159407,-0.0327301327720339,0.0371841722260832,-9.42670298700155,0.658068261970814,-0.60810706629028,-6.26079007561246,1.45400004635477,11.7016493887267,-8.58507775616718,-0.659373073605302,-0.848131216959724,-9.15247307376908,-0.659373073605302,-0.848131216959724,-9.15247307376908
