,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,0,0.986549095495087,-0.00758396181210202,0.154858309428843,-0.0517906333413597,0.990086584738504,-0.00886620847403543,0.130340970313168,-0.051586592501943,0.996251215092848,-0.0120388330731527,0.0688747431745271,-0.0509396964743936,0.996952971304009,-0.0126023117905924,0.0578358611022789,-0.0508032274191244,0.993582685714231,-0.0104259112064244,0.100267943382867,-0.0512941181246187,0.976529015013051,-0.00522698911887003,0.20882081016414,-0.0525131475421616,0.993582685714231,-0.0104259112064244,0.100267943382867,-0.0512941181246187,0.993582685714231,-0.0104259112064244,0.100267943382867,-0.0512941181246187,0.993582685714231,-0.0104259112064244,0.100267943382867,-0.0512941181246187,0.993582685714231,-0.0104259112064244,0.100267943382867,-0.0512941181246187,0.993582685714231,-0.0104259112064244,0.100267943382867,-0.0512941181246187,0.993582685714231,-0.0104259112064244,0.100267943382867,-0.0512941181246187,0.993582685714231,-0.0104259112064244,0.100267943382867,-0.0512941181246187,0.993582685714231,-0.0104259112064244,0.100267943382867,-0.0512941181246187,0.993582685714231,-0.0104259112064244,0.100267943382867,-0.0512941181246187,0.997489317651735,0.00815738412728406,0.0464471079688782,-0.0528316611153169,0.999182585958987,0.00425299628553533,0.0342398669297764,-0.0210642695467672,0.99911844190147,0.0161184603711901,-0.0216707745925366,-0.0321389454742975,0.99911844190147,0.0161184603711901,-0.0216707745925366,-0.0321389454742975,0.999406103338538,0.00520014865274837,-0.0111539805067561,-0.0321867640890461,0.993533780046685,0.0205957430117712,0.0845696542774979,-0.0729000469912277,0.996755564123164,-0.00675510444508567,-0.00848946727216978,-0.0797536387814572,0.996755564123164,-0.00675510444508567,-0.00848946727216978,-0.0797536387814572
1,1,0.986677613301927,-0.00660253618076855,0.153440169184919,-0.0536638463520643,0.990179888414729,-0.00793154668755226,0.128920078690941,-0.0534835718371492,0.996256486819567,-0.0112232494037124,0.0674508011858882,-0.052890836277548,0.996942470870538,-0.0118083893256391,0.0564119480715749,-0.0527632810849596,0.993632874116313,-0.00954918330281032,0.0988448763772743,-0.053218558676139,0.976736307084364,-0.00407800363394474,0.207408934284001,-0.0543239384501527,0.993632874116313,-0.00954918330281032,0.0988448763772743,-0.053218558676139,0.993632874116313,-0.00954918330281032,0.0988448763772743,-0.053218558676139,0.993632874116313,-0.00954918330281032,0.0988448763772743,-0.053218558676139,0.993632874116313,-0.00954918330281032,0.0988448763772743,-0.053218558676139,0.993632874116313,-0.00954918330281032,0.0988448763772743,-0.053218558676139,0.993632874116313,-0.00954918330281032,0.0988448763772743,-0.053218558676139,0.993632874116313,-0.00954918330281032,0.0988448763772743,-0.053218558676139,0.993632874116313,-0.00954918330281032,0.0988448763772743,-0.053218558676139,0.993632874116313,-0.00954918330281032,0.0988448763772743,-0.053218558676139,0.997983917629498,0.00640877371971192,0.0368806221355322,-0.0512527802483393,0.99875845663894,0.00638658664064378,0.0437713000635903,-0.0229091705224534,0.999066138881942,0.0184570692463602,-0.0144311261731653,-0.036303296430734,0.999086352803923,0.0137360166417692,-0.0178808573315525,-0.0363050468786385,0.999316884041217,0.00479958917309713,-0.011201292888716,-0.034889256964633,0.993303432331118,0.0204706183238243,0.0866117565834288,-0.0736725778440836,0.996756386469851,-0.00662370694002047,-0.0082783123718437,-0.0797765760246198,0.996756386469851,-0.00662370694002047,-0.0082783123718437,-0.0797765760246198
2,2,0.986935268862989,-0.00493580038789372,0.15112922561969,-0.0556270627704213,0.990380145625806,-0.0063140179587336,0.126603455372568,-0.0554875248605515,0.996313124544051,-0.00973271947652161,0.0651262283825572,-0.0549909666174806,0.996973357735497,-0.0103412122519009,0.0540868905343527,-0.0548797919738647,0.993762814014333,-0.00799314503960942,0.0965232471707204,-0.0552706239363126,0.977121338779905,-0.00225485809763195,0.205113570787026,-0.056189216002017,0.993762814014333,-0.00799314503960942,0.0965232471707204,-0.0552706239363126,0.993762814014333,-0.00799314503960942,0.0965232471707204,-0.0552706239363126,0.993762814014333,-0.00799314503960942,0.0965232471707204,-0.0552706239363126,0.993762814014333,-0.00799314503960942,0.0965232471707204,-0.0552706239363126,0.993762814014333,-0.00799314503960942,0.0965232471707204,-0.0552706239363126,0.993762814014333,-0.00799314503960942,0.0965232471707204,-0.0552706239363126,0.993762814014333,-0.00799314503960942,0.0965232471707204,-0.0552706239363126,0.993762814014333,-0.00799314503960942,0.0965232471707204,-0.0552706239363126,0.993762814014333,-0.00799314503960942,0.0965232471707204,-0.0552706239363126,0.998461024452788,0.00476513984426566,0.0269370748452625,-0.0482417877958011,0.998215970228432,0.00870798633659335,0.0534695982963592,-0.0251007930730735,0.998879166763611,0.0217208783654697,-0.00473080708497737,-0.0417879541613679,0.998990730604272,0.0101342613496199,-0.0129649772231368,-0.0417938545631417,0.999185613412771,0.00445203565729648,-0.0112975848007931,-0.0384792659119232,0.993100641243505,0.0202700166795442,0.0887230107351614,-0.0739491051442712,0.996758605179745,-0.0064747631489112,-0.00796938840856765,-0.0797925390665556,0.996758605179745,-0.0064747631489112,-0.00796938840856765,-0.0797925390665556
3,3,0.987241391046938,-0.00298596376132338,0.148407810538878,-0.0576250084180399,0.990618673490976,-0.00441433689245572,0.12387528468672,-0.0575332182705175,0.996382513811891,-0.00796315785103522,0.0623885293554384,-0.0571502029025497,0.997012419501461,-0.00859567526448765,0.0513485908772628,-0.0570584957873109,0.993918531480466,-0.00615634940898347,0.0937890996062464,-0.0573729634646635,0.977577024570962,-0.000157549327776093,0.202411516353581,-0.0580750743145279,0.993918531480466,-0.00615634940898347,0.0937890996062464,-0.0573729634646635,0.993918531480466,-0.00615634940898347,0.0937890996062464,-0.0573729634646635,0.993918531480466,-0.00615634940898347,0.0937890996062464,-0.0573729634646635,0.993918531480466,-0.00615634940898347,0.0937890996062464,-0.0573729634646635,0.993918531480466,-0.00615634940898347,0.0937890996062464,-0.0573729634646635,0.993918531480466,-0.00615634940898347,0.0937890996062464,-0.0573729634646635,0.993918531480466,-0.00615634940898347,0.0937890996062464,-0.0573729634646635,0.993918531480466,-0.00615634940898347,0.0937890996062464,-0.0573729634646635,0.993918531480466,-0.00615634940898347,0.0937890996062464,-0.0573729634646635,0.99884374353201,0.00317327421483125,0.01685885708567,-0.0449097458853164,0.997581696921828,0.0111116684318996,0.0628056867048613,-0.0276176485015738,0.998504985328754,0.0254193463141208,0.00616130310610537,-0.0479967650016298,0.998797803762123,0.00611165757411875,-0.00777674577251151,-0.0480116347029196,0.999028372382642,0.00418933374862739,-0.0113134658631261,-0.0423882784198304,0.99291463273611,0.0200502592777164,0.0908259739466229,-0.0739537805528529,0.996761362845544,-0.00633225659202726,-0.00762554107840107,-0.0798031276831222,0.996761362845544,-0.00633225659202726,-0.00762554107840107,-0.0798031276831222
4,4,0.987522343982417,-0.00115528733614405,0.145759359700964,-0.0596028061940829,0.990833849606755,-0.00263327963377115,0.121220680077368,-0.0595558144382967,0.996433144584203,-0.00631056497351182,0.0597256994852264,-0.0592790516519415,0.997033553186801,-0.0069667632720578,0.0486853635568596,-0.0592055183623078,0.994053137984287,-0.00443742290927368,0.0911291921864425,-0.0594486204462536,0.978003307461995,0.00181389375179331,0.199781070507326,-0.0599480128928565,0.994053137984287,-0.00443742290927368,0.0911291921864425,-0.0594486204462536,0.994053137984287,-0.00443742290927368,0.0911291921864425,-0.0594486204462536,0.994053137984287,-0.00443742290927368,0.0911291921864425,-0.0594486204462536,0.994053137984287,-0.00443742290927368,0.0911291921864425,-0.0594486204462536,0.994053137984287,-0.00443742290927368,0.0911291921864425,-0.0594486204462536,0.994053137984287,-0.00443742290927368,0.0911291921864425,-0.0594486204462536,0.994053137984287,-0.00443742290927368,0.0911291921864425,-0.0594486204462536,0.994053137984287,-0.00443742290927368,0.0911291921864425,-0.0594486204462536,0.994053137984287,-0.00443742290927368,0.0911291921864425,-0.0594486204462536,0.999077037162784,0.00158005094796426,0.00688904714448033,-0.042368836218109,0.996902520794163,0.0134922296826651,0.0712517980446859,-0.0304385454290043,0.997955321689665,0.0290629973006973,0.0169751105674365,-0.0543356579089645,0.998512995963761,0.00246719925630314,-0.00317033535156828,-0.0543659709106969,0.998869150853454,0.00404335562131147,-0.0111196456527127,-0.046048064336922,0.992734912376394,0.0198676730590052,0.0928432307634742,-0.0739107828239893,0.9967638893282,-0.00622017134727686,-0.00730961679679583,-0.0798099486405911,0.9967638893282,-0.00622017134727686,-0.00730961679679583,-0.0798099486405911
5,5,0.987712677007862,0.000153950312618909,0.143668536361063,-0.0615060617917802,0.990972264707277,-0.0013716518371728,0.119125779087058,-0.061490957945625,0.996441767565391,-0.00517100055816392,0.0576262484752128,-0.0612884988481568,0.997018921743173,-0.00584952575820984,0.0465859458232704,-0.0612274643133054,0.99412798540268,-0.00323503615225455,0.089031058071756,-0.0614211191604863,0.978308263132407,0.00325944913555224,0.197702213746016,-0.0617750188839349,0.99412798540268,-0.00323503615225455,0.089031058071756,-0.0614211191604863,0.99412798540268,-0.00323503615225455,0.089031058071756,-0.0614211191604863,0.99412798540268,-0.00323503615225455,0.089031058071756,-0.0614211191604863,0.99412798540268,-0.00323503615225455,0.089031058071756,-0.0614211191604863,0.99412798540268,-0.00323503615225455,0.089031058071756,-0.0614211191604863,0.99412798540268,-0.00323503615225455,0.089031058071756,-0.0614211191604863,0.99412798540268,-0.00323503615225455,0.089031058071756,-0.0614211191604863,0.99412798540268,-0.00323503615225455,0.089031058071756,-0.0614211191604863,0.99412798540268,-0.00323503615225455,0.089031058071756,-0.0614211191604863,0.999125122877274,-6.75964686761565e-05,-0.00272895482697225,-0.041731727399465,0.996242432987641,0.0157444512627307,0.0782816894348701,-0.033542570988579,0.997316699590704,0.032164294481978,0.0264410498255862,-0.0602140329333916,0.998182334796125,0.0,0.0,-0.0602662965591675,0.998739826893142,0.0040459956613024,-0.0105869406894612,-0.0488907433304462,0.992551581200333,0.0197785962668111,0.094697422530294,-0.0740443377480772,0.99676549961879,-0.00616249201065778,-0.0070844626172345,-0.0798146155246506,0.99676549961879,-0.00616249201065778,-0.0070844626172345,-0.0798146155246506
6,6,0.987839785860236,0.000948995945499755,0.141987685684205,-0.0633336718684565,0.991057643770478,-0.000622181605024609,0.117442292801456,-0.0633377255330207,0.996422893667973,-0.00453714953567717,0.0559407042206048,-0.0631780726180911,0.996981379613117,-0.00523664287580482,0.0449007140152639,-0.0631239428191647,0.99416229263388,-0.00254189259483771,0.0873457573056809,-0.0632897572098535,0.978527421922408,0.00418526426334937,0.196028951187367,-0.0635548456477841,0.99416229263388,-0.00254189259483771,0.0873457573056809,-0.0632897572098535,0.99416229263388,-0.00254189259483771,0.0873457573056809,-0.0632897572098535,0.99416229263388,-0.00254189259483771,0.0873457573056809,-0.0632897572098535,0.99416229263388,-0.00254189259483771,0.0873457573056809,-0.0632897572098535,0.99416229263388,-0.00254189259483771,0.0873457573056809,-0.0632897572098535,0.99416229263388,-0.00254189259483771,0.0873457573056809,-0.0632897572098535,0.99416229263388,-0.00254189259483771,0.0873457573056809,-0.0632897572098535,0.99416229263388,-0.00254189259483771,0.0873457573056809,-0.0632897572098535,0.99416229263388,-0.00254189259483771,0.0873457573056809,-0.0632897572098535,0.998970011207018,-0.00170787260826721,-0.012218907396114,-0.043665755257977,0.995593883277382,0.0180607405498347,0.0842350898256947,-0.0370280822283808,0.996603835919851,0.0347739282018942,0.0353426499586597,-0.0657454579507094,0.997829358701454,-0.00103189311624632,0.00138734858111718,-0.0658299428372572,0.99864405066883,0.00420446068600041,-0.00972220837909408,-0.050969218537521,0.992361852686497,0.0198039782380075,0.096365001213393,-0.0744281016801733,0.996765828733482,-0.00614576538475827,-0.00696965652504593,-0.0798219025394258,0.996765828733482,-0.00614576538475827,-0.00696965652504593,-0.0798219025394258
7,7,0.987950573525588,0.00149800761960062,0.140394216136309,-0.0651220724417214,0.991128874010331,-0.000117697113343618,0.115846565581723,-0.0651391932197713,0.996395324142756,-0.00414501464102987,0.054343625941952,-0.0650072857421292,0.996936122253689,-0.00486479272836809,0.0433040390707988,-0.0649573870906397,0.994185117840627,-0.00209224898645824,0.0857486041768914,-0.065105689767576,0.978725370861043,0.00485800075255104,0.194442006196692,-0.065309681424783,0.994185117840627,-0.00209224898645824,0.0857486041768914,-0.065105689767576,0.994185117840627,-0.00209224898645824,0.0857486041768914,-0.065105689767576,0.994185117840627,-0.00209224898645824,0.0857486041768914,-0.065105689767576,0.994185117840627,-0.00209224898645824,0.0857486041768914,-0.065105689767576,0.994185117840627,-0.00209224898645824,0.0857486041768914,-0.065105689767576,0.994185117840627,-0.00209224898645824,0.0857486041768914,-0.065105689767576,0.994185117840627,-0.00209224898645824,0.0857486041768914,-0.065105689767576,0.994185117840627,-0.00209224898645824,0.0857486041768914,-0.065105689767576,0.994185117840627,-0.00209224898645824,0.0857486041768914,-0.065105689767576,0.998632497417159,-0.00330509986475619,-0.0217411524732833,-0.0474292494815717,0.994938161054053,0.0205113440012583,0.0894636850973573,-0.0409095281620594,0.995763849003951,0.037216304765385,0.0445240086008803,-0.0713226214784322,0.997442200490474,-0.00116092382710487,0.00156082640630254,-0.0714511914352595,0.998565120726781,0.0044975091246175,-0.00861162099507537,-0.05266224514223,0.992173315682806,0.0199062806901525,0.0978976223995308,-0.0749126635796036,0.996765393315081,-0.00615400212301428,-0.00692330094555313,-0.0798307387622,0.996765393315081,-0.00615400212301428,-0.00692330094555313,-0.0798307387622
8,8,0.988014574394633,0.00179009323690943,0.139111203674535,-0.0668735325986121,0.991161032215562,0.00013085660990824,0.114562360404136,-0.0668973592345925,0.996348018681948,-0.00400564351121507,0.0530598894885927,-0.0667774558969981,0.996874600799572,-0.00474503687002393,0.0420209053291377,-0.0667289923580192,0.994178332335455,-0.00189710589872103,0.0844640143414865,-0.0668705823604334,0.97885945483756,0.00526844584196933,0.1931625701886,-0.0670420213870388,0.994178332335455,-0.00189710589872103,0.0844640143414865,-0.0668705823604334,0.994178332335455,-0.00189710589872103,0.0844640143414865,-0.0668705823604334,0.994178332335455,-0.00189710589872103,0.0844640143414865,-0.0668705823604334,0.994178332335455,-0.00189710589872103,0.0844640143414865,-0.0668705823604334,0.994178332335455,-0.00189710589872103,0.0844640143414865,-0.0668705823604334,0.994178332335455,-0.00189710589872103,0.0844640143414865,-0.0668705823604334,0.994178332335455,-0.00189710589872103,0.0844640143414865,-0.0668705823604334,0.994178332335455,-0.00189710589872103,0.0844640143414865,-0.0668705823604334,0.994178332335455,-0.00189710589872103,0.0844640143414865,-0.0668705823604334,0.998153756930635,-0.00495150202253096,-0.0309574233024644,-0.0520211312396313,0.994342051496222,0.0228081348488292,0.0934613257725675,-0.0450405838754007,0.994868065617011,0.0394174661911704,0.0528092445970362,-0.0767787669842669,0.997033643963051,-0.000773970599690252,0.00104057968446644,-0.0769560327017441,0.998508449952518,0.00491436818884495,-0.00724503337721635,-0.0538909440452481,0.991991901126585,0.0200541142030135,0.0993307612619852,-0.0753876678901184,0.996764853843301,-0.00620738272109327,-0.00691602974236014,-0.0798339719361366,0.996764853843301,-0.00620738272109327,-0.00691602974236014,-0.0798339719361366
9,9,0.98800206284931,0.00181436953124999,0.138361818661393,-0.068590371083878,0.991129937280029,0.000112542134211495,0.113813516267033,-0.0686142716676935,0.996270682363454,-0.00413007928324524,0.0523144007022716,-0.0684899509952674,0.996789012057622,-0.00488843291161326,0.0412763188640847,-0.0684400041341953,0.994124551499487,-0.00196745782076328,0.0837164569467861,-0.0685861505840905,0.978887749153362,0.00540739828200575,0.192411968762707,-0.0687544098814337,0.994124551499487,-0.00196745782076328,0.0837164569467861,-0.0685861505840905,0.994124551499487,-0.00196745782076328,0.0837164569467861,-0.0685861505840905,0.994124551499487,-0.00196745782076328,0.0837164569467861,-0.0685861505840905,0.994124551499487,-0.00196745782076328,0.0837164569467861,-0.0685861505840905,0.994124551499487,-0.00196745782076328,0.0837164569467861,-0.0685861505840905,0.994124551499487,-0.00196745782076328,0.0837164569467861,-0.0685861505840905,0.994124551499487,-0.00196745782076328,0.0837164569467861,-0.0685861505840905,0.994124551499487,-0.00196745782076328,0.0837164569467861,-0.0685861505840905,0.994124551499487,-0.00196745782076328,0.0837164569467861,-0.0685861505840905,0.997600290537532,-0.00673934122894608,-0.0395302669327681,-0.0564411161783372,0.993881671775803,0.0246632287656906,0.0957230228124377,-0.0492752530042901,0.99402923959955,0.0413051236708748,0.0590249032918061,-0.0819500968337875,0.99661818032432,-0.000257994525073193,0.000346865709888946,-0.0821706502958687,0.998478981287598,0.00544426078317803,-0.00561230032374103,-0.0545764238154401,0.991823510674554,0.0202160882391881,0.100699891530524,-0.0757427573781713,0.996764853279968,-0.00632608756613606,-0.00691847665572235,-0.0798244484016837,0.996764853279968,-0.00632608756613606,-0.00691847665572235,-0.0798244484016837
