,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-0.296546343318683,-0.693389912123153,-2.36816562533523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32506213647613,-0.674920211860204,-0.123030498942414,-0.725059922222993,-1.62367762732126,2.85397052641409,4.62524463696927,-3.83357235012263,1.10698905167031,0,0,0,1.21861466486714,0.994413506916465,0.075771090700302,-0.693069616756173,1.65583765944737,0.0079282609171365,0.265695835593266,0.159431998462178,-0.0521165752058437,0,0,0
1,1,-0.243464124360816,-0.785622967019294,-2.26281159743599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741058606423368,-0.678320994914351,1.66867057669,1.82582997947361,-0.236763119243756,5.15223386161776,5.36184786298326,-2.03443549728001,1.68595221339463,0,0,0,0.822863482623647,0.658997605590058,0.189392875141515,-1.11599325339496,1.31573444265558,0.345547862570891,-0.192130005630659,-0.468710649257067,0.38567732629441,0,0,0
2,2,-0.149372501535639,-0.799334461371617,-1.82915731701264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.519558494999398,-0.777986869436279,3.8577103388101,4.10437375673918,0.93968110990465,6.23877762890083,3.48035375573525,-0.308660385755485,1.83573658421309,0,0,0,0.26665882937463,0.0539695030986696,0.334148855965857,-1.56921683201905,0.390308202497242,0.642522013001045,0.142972505561969,0.0637391023195253,0.0825456251986694,0,0,0
3,3,0.180722667001787,-0.674867919287524,-0.855890666869392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.40794308624126,-0.710735525147553,5.45115737853872,5.00151865945676,1.16602793957802,5.27599056950082,5.03247960942955,0.863910888693153,1.71737041482585,0,0,0,-0.228920496667723,-0.600542522630975,0.279190713314726,-1.62564920738194,-0.216610831317191,0.74744668936845,-0.0657601005735621,-0.106141078452942,0.0807065125999795,0,0,0
4,4,1.04546712653907,-0.405333420394262,0.667628794611719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.52936858686152,-1.64045730021735,5.71413181401481,4.4820186918565,0.0699365508536462,3.54379221970483,5.41706629968374,1.29478247683484,2.55094719890941,0,0,0,-0.603464437312719,-0.98564917435222,0.0997123624750795,-1.58876056020317,-0.174708664889755,0.743602320349844,-0.0995816210691211,-0.0624687378777226,0.106513309517963,0,0,0
5,5,2.02337563417856,-0.390506224377809,2.45043887922329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46958032183189,-2.63903483459422,4.74146334226269,1.11777743983385,0.164104238617215,4.42134292064411,7.5952031075445,-0.53171939882422,2.42662531295321,0,0,0,-1.04717835058886,-1.11652491351787,0.0289217888765201,-1.37952022480423,0.0413175041349423,0.391405423204089,-0.0663390459986639,-0.014819336997315,0.113753064219651,0,0,0
6,6,2.69516386241929,-0.768758655908723,3.74375383489433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.40097924474982,-2.61773007971595,3.41263448767802,0.0698408877885796,-1.75256674715683,4.15805940429517,11.9689987491186,-1.53038963267259,0.776079458015944,0,0,0,-1.33031551779328,-0.782118458866264,0.0820833333185735,-1.29813093717941,0.279635515998908,0.403132244708161,0.00792185728450343,-0.0228355230873571,0.126417728055554,0,0,0
7,7,3.20117547794773,-1.04691771062832,4.40498821435499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61942653294311,-1.93989390326846,2.16837090739627,-0.520953689110455,-3.21424549590305,4.09568252646991,11.3437629223321,-2.22141680766839,3.43952328647066,0,0,0,-1.26802509911916,-0.457650912482375,0.175668306459023,-1.17623489309577,0.600980730515231,0.450505430160893,-0.08613933407371,0.0834681692292435,0.135809817751726,0,0,0
8,8,3.57979444812508,-1.20378470971842,3.96983859730171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.75617029948545,-1.00405065012893,1.35982361598901,-0.527820758501198,-3.17970784539773,3.70631583304282,11.905326005908,-3.49818220481529,7.09465275720322,0,0,0,-0.819432194121224,-0.287305135404162,0.272387738843818,-0.88208660962225,0.527295084413455,0.490749084295125,-0.0269288856810594,0.052774750540662,0.220060616381373,0,0,0
9,9,3.27597691324813,-1.33012595612534,2.95067189991863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02274493769905,0.342558255798196,1.21729023411102,-0.522307016172129,-2.85962304373216,2.95187736646835,14.1800062929969,-3.89924529842243,1.8096641043973,0,0,0,-0.24206145885589,-0.240013945490187,0.413090317484198,-0.76331194187012,0.557434193196297,0.693016442965726,-0.0127391813472627,0.131105295080711,0.224573081788057,0,0,0
