,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,11.2943285376724,68.4190747165188,168.406841989086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-156.171336691083,-75.1506811424729,-129.304290540876,-156.695335892418,71.4446280919155,177.784358926817,-14.976802202436,-42.9081415161232,145.14317493618,0,0,0,-137.73795734419,-63.6138092802928,20.6982607799249,-126.710945309521,-66.0531255273722,-65.3377731893435,-5.77750627327206,41.4142119897248,-5.93359081823553,0,0,0
1,1,10.3870406974273,68.4326785731218,167.241931417243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.321540339167,-74.729184917442,-133.567725987607,-157.106875441484,70.4706292977436,176.93234142267,-14.6994943942976,-43.7606713998668,144.675943772995,0,0,0,-137.866796988411,-63.7302467471985,20.4674124272399,-127.19403171541,-65.934641661877,-64.969293956379,-5.75582750187079,41.4751190493527,-5.92108962899774,0,0,0
2,2,9.2574460829112,68.5160830958571,165.862090629096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-147.014821567958,-74.2568011498311,-137.255067477352,-157.564606107777,69.4820868449778,176.081907421198,-14.324105422404,-44.8538838511561,143.919508247945,0,0,0,-137.964309793959,-63.8381000505617,20.1423808526547,-127.618532214789,-65.8125662958627,-64.5868250991995,-5.72727974887075,41.5324608127335,-5.90070354269263,0,0,0
3,3,7.95341955509546,68.6950845693905,164.345176728441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-143.423365728525,-73.7202242139772,-140.243299991144,-158.221967179843,68.4116025820392,175.158823618132,-13.8696165376012,-46.0915263697296,142.889671533243,0,0,0,-138.030600898812,-63.9132303561356,19.7702125143164,-128.014056536318,-65.6809015822477,-64.2219440086127,-5.70543721613789,41.5876275725986,-5.88566159123774,0,0,0
4,4,6.55232934560709,68.9678699367032,162.790505951127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-140.346016576995,-73.0971141847045,-142.875846462721,-159.109571329784,67.2674678183196,174.136589540868,-13.226362715086,-47.4916850852211,141.59652583654,0,0,0,-138.081291138353,-63.9208572362395,19.4050161495019,-128.421137086959,-65.5549182923643,-63.8718223266866,-5.67832651194801,41.6331253324947,-5.8725955019757,0,0,0
5,5,5.2902106889124,69.2933023841449,161.378509415269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-137.456107331256,-72.3839997122138,-145.719376737164,-160.055178982452,66.2186851777524,173.124313795195,-12.284325041576,-48.8911358490364,140.023597140672,0,0,0,-138.118664334784,-63.8617688267318,19.0848081883909,-128.835356558439,-65.4268220251345,-63.5393450688371,-5.65122618906424,41.6721722339988,-5.85846267885689,0,0,0
6,6,4.32464311519593,69.5937495003548,160.250391015719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-134.745298490999,-71.583076306396,-148.810014339126,-161.043490495672,65.2948078842534,171.995532741401,-11.0908194049335,-50.2131358553288,138.3078154419,0,0,0,-138.102097100923,-63.7607582158339,18.7973942923106,-129.243403897089,-65.3063864316279,-63.2295955961756,-5.6263698576514,41.7091755653506,-5.84523650706155,0,0,0
7,7,3.72477337345622,69.8135564070535,159.4846593719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-132.354963143199,-70.7061548592227,-151.777630255452,-161.96540697419,64.5132631555816,170.781242027952,-9.95411248296732,-51.4409482528383,136.784954471877,0,0,0,-137.990528734239,-63.6420926027918,18.5030201493455,-129.625242039706,-65.1932226766257,-62.9398963511092,-5.61091499734625,41.7424050909194,-5.83536212564288,0,0,0
8,8,3.46877358940142,69.8968228421993,159.070533878784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-130.242031296574,-69.8026142614751,-154.354019170718,-162.580499761656,63.9874825929237,169.696929605904,-9.39000113315119,-52.1982410440405,135.766905700841,0,0,0,-137.771283276885,-63.5003751464029,18.1876443554128,-129.985224617908,-65.0780366507306,-62.648833724972,-5.61485489401195,41.7701594828944,-5.83480166521525,0,0,0
9,9,3.4444538076127,69.848968849865,158.895370171904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-128.051569522097,-68.9866108193083,-156.696773301348,-162.886341903505,63.7200583590552,168.786808418992,-9.3997444735737,-52.5134399662764,135.241363145414,0,0,0,-137.433308191964,-63.339029855087,17.8322756598875,-130.32878797523,-64.9596628393953,-62.3709164956776,-5.64110834433498,41.7958169224929,-5.84543560232119,0,0,0
10,10,3.58821553217062,69.7141028375306,158.872256779931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-125.7531109668,-68.2849819802633,-158.814668062263,-162.964105237147,63.6962691304332,168.006092111494,-9.65211558871794,-52.5331908337273,135.04246416821,0,0,0,-137.001220727796,-63.1547514103809,17.4465863375405,-130.662454724752,-64.8335857829032,-62.0919825062471,-5.68830259017031,41.8205339026874,-5.8675951208339,0,0,0
11,11,3.88215972887247,69.5414000939146,158.968782202906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-123.606759792886,-67.6843450626586,-160.669578094049,-162.892189249946,63.9315500931566,167.338990369386,-10.0304190944013,-52.4186159017787,134.987997954173,0,0,0,-136.507509421852,-62.9477023608354,17.0794074187969,-130.968641631084,-64.7024586369171,-61.8205166627522,-5.74378611396816,41.8477450124552,-5.8917018977906,0,0,0
12,12,4.31346601324953,69.3497155698554,159.175440463572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-121.788169929787,-67.189406188375,-162.351788159604,-162.779944965646,64.3934230746479,166.750023742421,-10.6130305391186,-52.1684777204331,135.026319088444,0,0,0,-135.973788435429,-62.7163936826968,16.775527065978,-131.245019262497,-64.5654227656425,-61.5483081128511,-5.80819689115436,41.8754109158,-5.92341338207506,0,0,0
13,13,4.85009684563454,69.1345507320104,159.480405245151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-120.288703946842,-66.7738815916407,-163.926579470499,-162.790948296748,65.032762642489,166.178935877423,-11.3492536316319,-51.709694053432,135.101945902043,0,0,0,-135.42290370955,-62.4559012962732,16.5439348021412,-131.501016074917,-64.422803691412,-61.2676630274325,-5.87310580212848,41.8993894512851,-5.95527659848157,0,0,0
